gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2737823971	341	6	339	SUPERFAMILY	SSF82544			
2737823972	151	4	151	ProSiteProfiles	PS51186	IPR000182	GNAT domain	GO:0008080
2737823972	151	5	145	SUPERFAMILY	SSF55729	IPR016181	Acyl-CoA N-acyltransferase	
2737823973	416	316	415	SUPERFAMILY	SSF100879	IPR017961	DNA polymerase, Y-family, little finger domain	GO:0003684|GO:0003887|GO:0006281
2737823973	416	38	258	ProSiteProfiles	PS50173	IPR017963	DNA-repair protein, UmuC-like, N-terminal	GO:0003684|GO:0003887|GO:0006281
2737823973	416	31	66	SUPERFAMILY	SSF56672			
2737823973	416	109	308	SUPERFAMILY	SSF56672			
2737823974	309	81	88	ProSitePatterns	PS00687	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2737823974	309	109	120	ProSitePatterns	PS00070	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2737823974	309	1	308	SUPERFAMILY	SSF53720	IPR016161	Aldehyde/histidinol dehydrogenase	GO:0008152|GO:0016491|GO:0055114
2737823975	183	23	115	SMART	SM00471	IPR003607	HD/PDEase domain	GO:0003824
2737823975	183	3	64	SUPERFAMILY	SSF109604			
2737823976	280	39	134	SUPERFAMILY	SSF103481			
2737823976	280	197	279	SUPERFAMILY	SSF103481			
2737823977	618	10	225	SUPERFAMILY	SSF51905			
2737823977	618	225	327	SUPERFAMILY	SSF54373			
2737823977	618	328	412	SUPERFAMILY	SSF51905			
2737823977	618	420	617	SUPERFAMILY	SSF103025			
2737823978	144	1	137	SUPERFAMILY	SSF53732	IPR001030	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha	GO:0008152
2737823979	323	115	281	SUPERFAMILY	SSF53850			
2737823980	396	6	172	SUPERFAMILY	SSF51905			
2737823980	396	177	278	SUPERFAMILY	SSF54373			
2737823980	396	275	374	SUPERFAMILY	SSF51905			
2737823981	138	7	121	SUPERFAMILY	SSF158682			
2737823982	269	7	269	SUPERFAMILY	SSF53756			
2737823983	422	371	395	ProSitePatterns	PS00428	IPR018365	Cell cycle, FtsW / RodA / SpoVE, conserved site	GO:0007049|GO:0016021
2737823984	518	365	506	SUPERFAMILY	SSF53244	IPR004101	Mur ligase, C-terminal	GO:0005524|GO:0009058|GO:0016874
2737823984	518	126	275	SUPERFAMILY	SSF53623	IPR013221	Mur ligase, central	GO:0005524|GO:0009058
2737823984	518	306	363	SUPERFAMILY	SSF53623	IPR013221	Mur ligase, central	GO:0005524|GO:0009058
2737823984	518	129	153	ProSitePatterns	PS01011	IPR018109	Folylpolyglutamate synthetase, conserved site	GO:0004326|GO:0005524|GO:0009396
2737823984	518	9	102	SUPERFAMILY	SSF51984			
2737823985	392	71	83	ProSitePatterns	PS01347	IPR018480	Phospho-N-acetylmuramoyl-pentapeptide transferase, conserved site	
2737823985	392	215	226	ProSitePatterns	PS01348	IPR018480	Phospho-N-acetylmuramoyl-pentapeptide transferase, conserved site	
2737823986	82	2	69	SUPERFAMILY	SSF53244	IPR004101	Mur ligase, C-terminal	GO:0005524|GO:0009058|GO:0016874
2737823987	385	13	384	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2737823987	385	13	385	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
2737823989	257	5	257	SUPERFAMILY	SSF51735			
2737823990	325	113	286	SUPERFAMILY	SSF53850			
2737823991	424	69	91	ProSitePatterns	PS00570	IPR015881	Aromatic-ring-hydroxylating dioxygenase, 2Fe-2S-binding site	GO:0005506|GO:0016705|GO:0051537|GO:0055114
2737823991	424	17	134	SUPERFAMILY	SSF50022	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	GO:0016491|GO:0051537|GO:0055114
2737823991	424	26	130	ProSiteProfiles	PS51296	IPR017941	Rieske [2Fe-2S] iron-sulphur domain	GO:0016491|GO:0051537|GO:0055114
2737823991	424	126	295	SUPERFAMILY	SSF55961			
2737823991	424	327	393	SUPERFAMILY	SSF55961			
2737823992	359	149	322	SUPERFAMILY	SSF53850			
2737823994	280	48	280	SUPERFAMILY	SSF53335			
2737823996	537	272	280	ProSitePatterns	PS00039	IPR000629	RNA helicase, ATP-dependent, DEAD-box, conserved site	GO:0003676|GO:0005524|GO:0008026
2737823996	537	354	503	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2737823996	537	378	459	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2737823996	537	95	341	SMART	SM00487	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2737823996	537	114	326	ProSiteProfiles	PS51192	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2737823996	537	76	104	ProSiteProfiles	PS51195	IPR014014	RNA helicase, DEAD-box type, Q motif	
2737823996	537	196	478	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737823997	201	19	192	SMART	SM00479	IPR006055	Exonuclease	GO:0004527
2737823997	201	14	192	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
2737823999	294	76	225	ProSiteProfiles	PS50936	IPR010914	EngC GTPase	GO:0003924|GO:0005525
2737823999	294	3	59	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
2737823999	294	72	286	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737824001	238	73	204	ProSiteProfiles	PS51462	IPR000086	NUDIX hydrolase domain	GO:0016787
2737824001	238	74	229	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2737824002	125	1	116	SUPERFAMILY	SSF50104	IPR008991	Translation protein SH3-like domain	
2737824002	125	88	103	ProSitePatterns	PS01015	IPR018257	Ribosomal protein L19, conserved site	GO:0003735|GO:0005622|GO:0005840|GO:0006412
2737824003	262	1	236	SUPERFAMILY	SSF75217			
2737824004	187	13	107	SUPERFAMILY	SSF50447	IPR009000	Translation protein, beta-barrel domain	
2737824004	187	114	186	SUPERFAMILY	SSF50346	IPR011033	PRC-barrel-like	
2737824005	83	2	11	ProSitePatterns	PS00732	IPR020592	Ribosomal protein S16, conserved site	GO:0003735|GO:0005622|GO:0005840|GO:0006412
2737824005	83	1	79	SUPERFAMILY	SSF54565	IPR023803	Ribosomal protein S16 domain	
2737824006	178	3	166	ProSiteProfiles	PS51186	IPR000182	GNAT domain	GO:0008080
2737824006	178	5	165	SUPERFAMILY	SSF55729	IPR016181	Acyl-CoA N-acyltransferase	
2737824008	157	5	141	SUPERFAMILY	SSF55083	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	GO:0003848|GO:0009396
2737824008	157	91	102	ProSitePatterns	PS00794	IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	GO:0003848|GO:0009396
2737824009	418	5	35	SUPERFAMILY	SSF81301			
2737824009	418	62	114	SUPERFAMILY	SSF81301			
2737824009	418	115	348	SUPERFAMILY	SSF81891			
2737824011	363	203	219	ProSitePatterns	PS01215	IPR000808	Mrp, conserved site	GO:0005524
2737824011	363	90	324	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737824011	363	2	85	SUPERFAMILY	SSF117916			
2737824012	261	13	24	ProSitePatterns	PS00178	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	GO:0000166|GO:0004812|GO:0005524|GO:0006418
2737824012	261	4	145	SUPERFAMILY	SSF52374			
2737824012	261	146	180	SUPERFAMILY	SSF57770			
2737824012	261	180	261	SUPERFAMILY	SSF52374			
2737824013	214	77	192	SMART	SM00448	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2737824013	214	78	196	ProSiteProfiles	PS50110	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2737824013	214	74	201	SUPERFAMILY	SSF52172	IPR011006	CheY-like superfamily	
2737824014	581	228	239	ProSitePatterns	PS00455	IPR020845	AMP-binding, conserved site	
2737824014	581	19	171	SUPERFAMILY	SSF56801			
2737824014	581	198	573	SUPERFAMILY	SSF56801			
2737824015	346	2	329	SUPERFAMILY	SSF51679	IPR011251	Luciferase-like domain	GO:0016705|GO:0055114
2737824018	327	86	100	ProSitePatterns	PS00723	IPR000092	Polyprenyl synthetase	GO:0008299
2737824018	327	208	220	ProSitePatterns	PS00444	IPR000092	Polyprenyl synthetase	GO:0008299
2737824018	327	10	326	SUPERFAMILY	SSF48576	IPR008949	Terpenoid synthase	
2737824019	103	72	94	ProSitePatterns	PS01169	IPR018258	Ribosomal protein L21, conserved site	GO:0003723|GO:0003735|GO:0005622|GO:0005840|GO:0006412
2737824019	103	1	101	SUPERFAMILY	SSF141091			
2737824020	85	34	48	ProSitePatterns	PS00831	IPR018261	Ribosomal protein L27, conserved site	GO:0003735|GO:0005622|GO:0005840|GO:0006412
2737824020	85	2	79	SUPERFAMILY	SSF110324			
2737824021	362	213	226	ProSitePatterns	PS00905	IPR006074	GTP1/OBG, conserved site	GO:0005525
2737824021	362	2	158	SUPERFAMILY	SSF82051	IPR006169	GTP1/OBG domain	GO:0005525
2737824021	362	151	338	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737824022	379	13	263	SUPERFAMILY	SSF53633	IPR001048	Aspartate/glutamate/uridylate kinase	
2737824022	379	284	362	ProSiteProfiles	PS50890	IPR002478	Pseudouridine synthase/archaeosine transglycosylase	GO:0003723
2737824022	379	285	368	SMART	SM00359	IPR002478	Pseudouridine synthase/archaeosine transglycosylase	GO:0003723
2737824022	379	285	375	SUPERFAMILY	SSF88697	IPR015947	PUA-like domain	
2737824022	379	215	232	ProSitePatterns	PS00902	IPR019797	Glutamate 5-kinase, conserved site	GO:0004349|GO:0006561
2737824023	202	6	149	ProSiteProfiles	PS51462	IPR000086	NUDIX hydrolase domain	GO:0016787
2737824023	202	3	154	SUPERFAMILY	SSF55811	IPR015797	NUDIX hydrolase domain-like	GO:0016787
2737824023	202	38	59	ProSitePatterns	PS00893	IPR020084	NUDIX hydrolase, conserved site	GO:0016787
2737824024	174	38	174	ProSiteProfiles	PS50862	IPR006195	Aminoacyl-tRNA synthetase, class II	GO:0004812|GO:0006418
2737824024	174	10	171	SUPERFAMILY	SSF55681			
2737824025	389	186	295	SUPERFAMILY	SSF55031	IPR011650	Peptidase M20, dimerisation domain	
2737824025	389	2	185	SUPERFAMILY	SSF53187			
2737824025	389	299	380	SUPERFAMILY	SSF53187			
2737824026	274	4	258	SUPERFAMILY	SSF51161	IPR011004	Trimeric LpxA-like	
2737824026	274	136	164	ProSitePatterns	PS00101	IPR018357	Hexapeptide transferase, conserved site	GO:0016740
2737824027	406	2	399	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
2737824028	129	4	109	SUPERFAMILY	SSF47226	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160|GO:0004871
2737824028	129	19	112	ProSiteProfiles	PS50894	IPR008207	Signal transduction histidine kinase, phosphotransfer (Hpt) domain	GO:0000160|GO:0004871
2737824029	91	2	89	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737824030	472	157	165	ProSitePatterns	PS00039	IPR000629	RNA helicase, ATP-dependent, DEAD-box, conserved site	GO:0003676|GO:0005524|GO:0008026
2737824030	472	238	384	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2737824030	472	262	343	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2737824030	472	21	226	SMART	SM00487	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2737824030	472	33	211	ProSiteProfiles	PS51192	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2737824030	472	2	30	ProSiteProfiles	PS51195	IPR014014	RNA helicase, DEAD-box type, Q motif	
2737824030	472	78	364	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737824031	177	6	176	SUPERFAMILY	SSF51283			
2737824032	477	243	404	SUPERFAMILY	SSF56425	IPR027477	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain	
2737824032	477	1	30	ProSiteProfiles	PS51257			
2737824032	477	11	239	SUPERFAMILY	SSF51905			
2737824032	477	403	470	SUPERFAMILY	SSF51905			
2737824033	180	33	87	SUPERFAMILY	SSF54862			
2737824034	343	7	338	SUPERFAMILY	SSF103378	IPR005656	MmgE/PrpD	GO:0019543|GO:0047547
