gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2737823971	341	8	229	2	228	4.9e-83	278.1	pfam13660	DUF4147	229
2737823971	341	308	341	1	31	1.3e-08	34.8	pfam05161	MOFRL	109
2737823972	151	17	136	4	117	3.6e-14	52.9	pfam00583	Acetyltransf_1	117
2737823973	416	41	227	1	150	1.5e-47	161.2	pfam00817	IMS	150
2737823973	416	239	270	2	29	5.7e-07	29.4	pfam11798	IMS_HHH	32
2737823973	416	307	416	1	106	3.1e-17	63.2	pfam11799	IMS_C	118
2737823974	309	1	304	152	461	1.4e-103	346.8	pfam00171	Aldedh	462
2737823976	280	142	279	2	134	1.4e-10	41.4	pfam00892	EamA	137
2737823977	618	11	367	1	336	3.6e-64	217.4	pfam01266	DAO	336
2737823977	618	370	425	2	56	4.3e-20	71.7	pfam16350	FAO_M	56
2737823977	618	427	617	1	173	1.3e-41	142.6	pfam01571	GCV_T	257
2737823978	144	1	101	363	458	2.9e-17	62.7	pfam00330	Aconitase	462
2737823979	323	46	320	3	273	8.4e-85	284	pfam03401	TctC	274
2737823980	396	3	350	5	322	2.3e-19	69.7	pfam01494	FAD_binding_3	356
2737823981	138	4	124	25	139	2.2e-06	27.6	pfam05099	TerB	144
2737823982	269	6	145	2	138	1.9e-34	118.6	pfam03033	Glyco_transf_28	139
2737823982	269	183	269	2	88	4.5e-19	68.9	pfam04101	Glyco_tran_28_C	167
2737823983	422	51	415	3	358	1.1e-105	353.5	pfam01098	FTSW_RODA_SPOVE	359
2737823984	518	131	346	1	192	6.2e-23	81.6	pfam08245	Mur_ligase_M	192
2737823984	518	366	446	2	79	1.3e-07	31.6	pfam02875	Mur_ligase_C	91
2737823985	392	71	83	1	13	3.9e-06	26	pfam10555	MraY_sig1	13
2737823985	392	101	311	2	159	1.9e-36	125.3	pfam00953	Glycos_transf_4	160
2737823987	385	17	268	8	241	1.3e-20	73.5	pfam07690	MFS_1	353
2737823989	257	13	255	1	234	2.4e-58	197.3	pfam13561	adh_short_C2	234
2737823990	325	49	321	2	271	3.9e-80	268.7	pfam03401	TctC	274
2737823991	424	25	119	2	84	9.7e-14	51	pfam00355	Rieske	89
2737823992	359	82	356	2	273	3.5e-85	285.3	pfam03401	TctC	274
2737823994	280	73	171	1	95	5.0e-18	65.4	pfam08241	Methyltransf_11	95
2737823996	537	100	315	1	174	7.1e-41	139.8	pfam00270	DEAD	176
2737823996	537	349	459	13	111	4.3e-24	84.9	pfam00271	Helicase_C	111
2737823997	201	21	183	1	164	1.4e-29	103.6	pfam00929	RNase_T	165
2737823998	418	29	207	1	181	2.3e-55	187.2	pfam16491	Peptidase_M48_N	182
2737823998	418	210	418	1	191	2.3e-38	131.8	pfam01435	Peptidase_M48	196
2737823999	294	56	230	1	166	4.3e-46	156.7	pfam03193	DUF258	167
2737824000	326	4	183	26	165	5.3e-10	38.8	pfam03186	CobD_Cbib	276
2737824000	326	205	289	192	246	7.7e-12	44.9	pfam03186	CobD_Cbib	276
2737824001	238	73	217	8	115	8.1e-14	51.6	pfam00293	NUDIX	131
2737824002	125	2	115	1	111	1.5e-46	156.8	pfam01245	Ribosomal_L19	111
2737824003	262	22	228	3	195	9.2e-47	159.1	pfam01746	tRNA_m1G_MT	195
2737824004	187	16	105	1	83	2.8e-24	85	pfam01782	RimM	84
2737824004	187	111	186	2	73	5.0e-07	29.6	pfam05239	PRC	79
2737824005	83	8	68	1	60	1.6e-22	79.1	pfam00886	Ribosomal_S16	60
2737824006	178	5	160	1	153	1.3e-22	80.6	pfam13420	Acetyltransf_4	153
2737824008	157	9	136	1	112	1.3e-34	118.9	pfam01288	HPPK	112
2737824009	418	1	117	43	126	4.3e-17	62.6	pfam01743	PolyA_pol	126
2737824009	418	147	209	1	61	7.7e-15	54.3	pfam12627	PolyA_pol_RNAbd	64
