gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2737823974	309	1	308	0.0e+00	589.1	TIGR03250	putative phosphonoacetaldehyde dehydrogenase
2737823975	183	2	180	2.0e-74	235.1	TIGR03276	phosphonate degradation operons associated HDIG domain protein
2737823976	280	1	277	2.9e-76	242.8	TIGR03340	phosphonate utilization associated putative membrane protein
2737823982	269	3	269	5.3e-80	255	TIGR01133	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
2737823983	422	50	413	4.9e-123	396.7	TIGR02614	cell division protein FtsW
2737823984	518	13	505	1.5e-117	379.3	TIGR01087	UDP-N-acetylmuramoylalanine--D-glutamate ligase
2737823985	392	40	392	2.0e-123	397.9	TIGR00445	phospho-N-acetylmuramoyl-pentapeptide-transferase
2737823999	294	36	289	5.4e-67	211.9	TIGR00157	ribosome small subunit-dependent GTPase A
2737824002	125	1	116	1.2e-52	163.1	TIGR01024	ribosomal protein L19, bacterial type
2737824003	262	1	243	5.8e-80	253.9	TIGR00088	tRNA (guanine-N1)-methyltransferase
2737824004	187	14	187	6.0e-47	145.2	TIGR02273	16S rRNA processing protein RimM
2737824005	83	2	80	5.1e-30	89.6	TIGR00002	ribosomal protein S16
2737824008	157	8	136	5.7e-43	132.3	TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
2737824009	418	1	380	6.6e-107	343.9	TIGR01942	poly(A) polymerase
2737824012	261	6	261	4.1e-78	249.3	TIGR00398	methionine--tRNA ligase
2737824013	214	16	62	5.3e-12	32.2	TIGR01764	DNA binding domain, excisionase family
2737824015	346	4	329	1.2e-118	382	TIGR03558	luciferase family oxidoreductase, group 1
2737824019	103	2	102	2.5e-40	123.2	TIGR00061	ribosomal protein L21
2737824020	85	1	83	1.2e-40	123.7	TIGR00062	ribosomal protein L27
2737824021	362	159	331	1.1e-16	48.2	TIGR00231	small GTP-binding protein domain
2737824021	362	3	334	0.0e+00	460.4	TIGR02729	Obg family GTPase CgtA
2737824022	379	13	375	1.7e-127	411.5	TIGR01027	glutamate 5-kinase
2737824023	202	8	88	8.8e-16	44.3	TIGR00586	mutator mutT protein
2737824024	174	1	174	1.2e-89	287.6	TIGR00409	prolyl-tRNA synthetase, family II
2737824025	389	4	380	0.0e+00	495.5	TIGR01246	succinyl-diaminopimelate desuccinylase, proteobacterial clade
2737824026	274	4	274	0.0e+00	468	TIGR00965	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
2737824027	406	1	398	0.0e+00	595.6	TIGR03538	succinyldiaminopimelate transaminase
2737824031	177	1	177	1.5e-50	157.4	TIGR02274	deoxycytidine triphosphate deaminase
2737824032	477	10	469	0.0e+00	643.4	TIGR02485	precorrin 3B synthase CobZ
2737824033	180	25	180	2.8e-58	183.8	TIGR02484	CitB domain protein
2737824038	241	9	238	5.7e-72	227.7	TIGR02021	magnesium protoporphyrin O-methyltransferase
2737824040	253	1	248	9.7e-89	283	TIGR01150	photosynthetic reaction center, subunit H, bacterial
2737824042	159	16	148	5.9e-29	87.2	TIGR03054	putative photosynthetic complex assembly protein
2737824061	368	33	368	1.6e-97	313	TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
2737824062	512	17	507	0.0e+00	440.2	TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
2737824064	105	1	85	2.7e-22	64.8	TIGR02209	cell division protein FtsL
2737824065	310	4	305	4.9e-97	311	TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
2737824066	142	1	142	3.4e-37	113.7	TIGR00242	division/cell wall cluster transcriptional repressor MraZ
2737824067	342	223	332	3.7e-46	142.3	TIGR02420	RNA polymerase-binding protein DksA
2737824068	88	1	83	3.9e-14	39	TIGR00369	uncharacterized domain 1
2737824071	393	7	391	5.4e-129	416.4	TIGR01930	acetyl-CoA acetyltransferases
2737824085	160	28	159	6.8e-14	38.2	TIGR00369	uncharacterized domain 1
2737824091	532	3	532	0.0e+00	511	TIGR02275	2,3-dihydroxybenzoate-AMP ligase
2737824094	391	127	288	4.3e-52	162.2	TIGR00093	pseudouridine synthase
2737824095	209	5	178	9.4e-33	99.4	TIGR00281	segregation and condensation protein B
2737824096	324	26	320	1.3e-81	260.1	TIGR00005	pseudouridine synthase, RluA family
2737824097	209	1	209	5.2e-68	215.1	TIGR03302	outer membrane assembly lipoprotein YfiO
2737824102	107	3	104	1.6e-24	72.7	TIGR00730	TIGR00730 family protein
2737824103	173	6	164	1.8e-61	192.7	TIGR03358	type VI secretion protein, VC_A0107 family
2737824104	497	19	493	0.0e+00	683.9	TIGR03355	type VI secretion protein, EvpB/VC_A0108 family
2737824105	160	5	154	5.1e-21	61.4	TIGR03344	type VI secretion system effector, Hcp1 family
2737824106	156	10	149	3.6e-22	64.6	TIGR03357	type VI secretion system lysozyme-like protein
2737824107	587	8	587	0.0e+00	537.5	TIGR03359	type VI secretion protein, VC_A0110 family
2737824108	347	11	312	9.3e-69	217.8	TIGR03347	type VI secretion protein, VC_A0111 family
2737824109	901	12	882	0.0e+00	1230.4	TIGR03345	type VI secretion ATPase, ClpV1 family
2737824110	671	12	508	0.0e+00	543	TIGR03361	type VI secretion system Vgr family protein
2737824110	671	23	490	1.4e-116	377.3	TIGR01646	Rhs element Vgr protein
2737824118	415	4	415	0.0e+00	538.8	TIGR01347	2-oxoglutarate dehydrogenase complex dihydrolipoamide succinyltransferase (E2 component)
2737824119	959	20	949	0.0e+00	1173.6	TIGR00239	2-oxoglutarate dehydrogenase, E1 component
2737824133	188	5	181	1.2e-24	72.9	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2737824134	591	22	588	0.0e+00	823.5	TIGR00118	acetolactate synthase, large subunit, biosynthetic type
2737824135	163	1	158	4.1e-66	207.9	TIGR00119	acetolactate synthase, small subunit
2737824136	145	14	145	1.1e-60	191.2	TIGR00465	ketol-acid reductoisomerase
2737824138	309	25	300	2.0e-67	213.4	TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
2737824139	126	4	126	1.4e-31	95.2	TIGR00252	TIGR00252 family protein
2737824140	198	32	188	2.6e-66	208.5	TIGR00441	phosphoheptose isomerase
2737824146	251	5	246	5.9e-76	241.1	TIGR00186	rRNA methylase, putative, group 3
2737824149	252	14	251	1.5e-94	302.2	TIGR01830	3-oxoacyl-(acyl-carrier-protein) reductase
2737824150	346	50	346	5.0e-111	357.8	TIGR03904	uncharacterized radical SAM protein YgiQ
2737824153	317	2	313	8.3e-121	388.8	TIGR01202	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase
2737824154	436	5	434	2.4e-105	338.5	TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
2737824157	491	8	486	0.0e+00	541.2	TIGR02963	xanthine dehydrogenase, small subunit
2737824158	117	1	117	4.1e-38	116.4	TIGR02962	hydroxyisourate hydrolase
2737824161	603	39	603	0.0e+00	478.3	TIGR03648	probable sodium:solute symporter, VC_2705 subfamily
2737824162	604	1	603	0.0e+00	884.3	TIGR01418	phosphoenolpyruvate synthase
2737824165	221	17	219	1.2e-97	311.6	TIGR00101	urease accessory protein UreG
