Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757601991	GT9(69-309)	N	N	N	1
2757601996	GT2_Glycos_transf_2(3-156)	N	N	N	1
2757602142	AA6(2-173)	N	N	N	1
2757602151	GH23(103-241)	GH23	GH23	Y(1-26)	3
2757602216	GT19(9-365)	GT19	GT19	N	3
2757602378	GT4(212-380)	GT4	GT4	N	3
2757602387	CE10(51-309)	N	N	N	1
2757602487	GT9(69-317)	GT9	GT9	N	3
2757602571	GT51(67-240)	GT51	N	N	2
2757602573	CE11(4-279)	CE11	CE11	N	3
2757602579	GT28(184-339)	GT28	GT28	N	3
2757602614	GT30(36-211)	GT30	GT30	N	3
2757602615	GT9(72-295)	GT9	N	N	2
2757602619	CE10(45-188)	N	N	N	1
2757602703	GT4(216-358)	GT4	GT4	N	3
2757602855	GH23(518-643)	GH23	GH23	Y(1-28)	3
2757602879	AA4(2-221)	N	N	N	1
2757602945	AA3_2(5-566)	AA3+AA8	AA3	N	3
2757602988	GH102(159-296)	GH102	GH102	N	3
2757603177	GH3(58-296)	GH3	GH3	N	3
2757603326	GH103(72-367)	GH103	N	N	2
2757603526	GT51(115-290)	GT51	GT51	N	3
2757603580	GH23(65-166)	GH23	N	N	2
2757603609	GT83(21-436)	GT83	GT83	N	3
2757603816	AA4(38-289)	N	N	N	1
2757604178	GT9(112-375)	GT9	GT9	N	3
2757604180	GT83(10-452)	N	N	N	1
2757604248	GH23(126-231)	GH23	N	N	2
2757604276	GT83(11-372)	GT83	GT0	N	3
2757602214	N	CE11	N	N	1
2757603296	N	GH33	N	N	1
2757603775	N	GT0	GT0	N	2
2757601863	N	N	GH19	N	1
2757602224	N	N	AA1	N	1
2757602532	N	N	GH23	Y(1-19)	1
2757602533	N	N	GH23	N	1
2757602943	N	N	CBM50	N	1
2757602997	N	N	GT13	N	1
2757603217	N	N	GH101	N	1
2757603399	N	N	CE8	N	1
2757603523	N	N	GT51	N	1
2757603739	N	N	GH6	N	1
2757603771	N	N	GH13_30	N	1
2757603787	N	N	GH6	N	1
2757604093	N	N	GH13_11	N	1
2757604244	N	N	GH28	N	1
2757604247	N	N	GH13_11	N	1
