gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2757601860	342	30.96	16	338	1	317	8.0e-51	194	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2757601862	224	42.27	37	224	1	193	1.0e-35	143	COG0576	Molecular chaperone GrpE (heat shock protein)	193
2757601863	643	59.31	1	606	4	579	0.0e+00	655	COG0443	Molecular chaperone DnaK (HSP70)	579
2757601864	379	58.2	4	379	3	370	0.0e+00	471	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	371
2757601867	156	33.6	5	127	1	124	2.0e-18	85.3	COG1569	Predicted nucleic acid-binding protein, contains PIN domain	142
2757601869	609	39.36	46	539	12	508	1.0e-120	427	COG0513	Superfamily II DNA and RNA helicase	513
2757601871	127	35.34	1	126	1	132	8.0e-22	95.8	COG1815	Flagellar basal body rod protein FlgB	133
2757601872	142	46.04	3	141	2	137	1.0e-36	145	COG1558	Flagellar basal body rod protein FlgC	137
2757601873	232	31.37	22	225	17	208	3.0e-27	115	COG1843	Flagellar hook assembly protein FlgD	222
2757601874	1439	25.51	1105	1438	78	422	7.0e-34	140	COG1749	Flagellar hook protein FlgE	423
2757601876	152	28.77	6	151	1	128	2.0e-14	72.2	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	130
2757601879	813	34.62	532	811	18	293	8.0e-51	195	COG2333	Metal-dependent hydrolase, beta-lactamase superfamily II	293
2757601880	96	30.11	1	92	1	89	3.0e-09	53.5	COG3668	Plasmid stabilization system protein ParE	98
2757601881	96	34.72	9	80	5	72	9.0e-10	55.3	COG3905	Predicted transcriptional regulator	83
2757601883	363	52.21	1	357	1	361	4.0e-123	434	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component	363
2757601884	330	18.69	18	320	13	293	1.0e-06	47.7	COG1106	ATPase/GTPase, AAA15 family	371
2757601887	859	25.19	470	856	89	461	1.0e-40	162	COG0769	UDP-N-acetylmuramyl tripeptide synthase	475
2757601890	412	25.67	4	410	23	394	6.0e-44	171	COG1373	Predicted ATPase, AAA+ superfamily	398
2757601891	398	36.73	14	396	1	392	2.0e-80	292	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	393
2757601892	367	53.95	3	366	2	352	3.0e-129	455	COG0482	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain	356
2757601893	864	36.56	125	584	249	705	6.0e-113	402	COG0643	Chemotaxis protein histidine kinase CheA	716
2757601894	372	18.88	9	240	5	221	6.0e-04	38.9	COG1426	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains	284
2757601895	258	23.47	4	257	3	282	3.0e-12	65.9	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2757601896	251	32.27	4	247	2	241	7.0e-48	183	COG1187	16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	248
2757601897	355	32.05	7	343	2	278	9.0e-49	187	COG1975	Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family	278
2757601899	95	30.23	17	95	6	90	2.0e-04	37.5	COG1669	Predicted nucleotidyltransferase	97
2757601901	294	23.71	5	292	1	286	2.0e-23	103	COG0583	DNA-binding transcriptional regulator, LysR family	297
