	Polynucleobacter_sp_VK13_2708742530	Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	B52_Sp13.BD.MM15.SD_rebin1	B38_Sp13.BD.MM110.DD_rebin5	Limnohabitans_sp_63ED37-2_NZ.CP011774.1	Chitinophaga_niabensis_2636416022	B4_Fa13.BD.MLB.DN_rebin2	B22_Fa13.BD.MLB.SN_rebin5	B58_Su13.BD.MLB.SD.C_rebin3	Limnohabitans_sp_Rim28_NZ.ALKN00000000.1	B63_Su13.BD.MM110.DCMD_rebin1	B21_Fa13.BD.MLB.SN_rebin4	Limnohabitans_sp_103DPR2_NZ.CP011834.1	Limnohabitans_sp_DM1_NZ.CXOO00000000.1	Polynucleobacter_sp_UB-Domo-W1_2710724123	Limnohabitans_sp_Rim47_2684622883	Limnohabitans_sp_2KL-27_NZ.CXOP00000000.1	Polynucleobacter_sp_AP-Melu-1000-B4_2710724120	Limnohabitans_planktonicus_II-D5_NZ.LFYT00000000.1	B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined1	Polynucleobacter_necessarius_STIR1_2503982034	Limnohabitans_sp_Rim11_CXOM00000000.1	B72-73_Su13.BD.MM15.SN.C_rebin5-6_refined2	B28_Fa13.BD.MM110.DN_rebin2	Polynucleobacter_sp_QWL-P1DMWA-1_640427129
Polynucleobacter_sp_VK13_2708742530	1.0	0.04552460309854327	0.021316353621258853	0.018485256620978215	0.04222532055939069	0.0024182143753913713	0.022904680790550004	0.03629416890883916	0.02160008161473517	0.04511824690449668	0.03681697036897349	0.032741042559542514	0.05659652127496231	0.03977825248974749	0.14864221041281736	0.045451781870193414	0.04270449798178714	0.13132861987627947	0.041567868526081166	0.02563925531363107	0.12592164367130285	0.057788110148290814	0.02762225980072402	0.03477488450793631	0.1421906617766525
Limnohabitans_sp_2KL-3_NZ.CXON00000000.1	0.02689863702535777	1.0	0.1078837356917629	0.09845286734734719	0.4856425695868117	0.00140779871873133	0.13054514585008473	0.1786186011744788	0.17581264332336055	0.4263343859342509	0.15339997640396907	0.15589076169287064	0.25306449784356166	0.4738956858450428	0.03422744687802089	0.3928609223533416	0.4246904173500819	0.03278611916330905	0.4565647573789462	0.3152324952970344	0.031506568854203144	0.23757871193751703	0.15748255077704496	0.13837647153000562	0.03801873809851615
B52_Sp13.BD.MM15.SD_rebin1	0.03955529203085246	0.3028515847599785	1.0	0.14126194890563676	0.29657414541747934		0.6749767242140409	0.2705800085077011	0.1437746301959179	0.28792849518030705	0.17125711316045042	0.22335775284325765	0.2622483807276492	0.28702856500766494	0.047694794250078255	0.27714889680800686	0.2924677750756463	0.04598522790204907	0.2841973465604007	0.21001430658223175	0.04314598332169544	0.2636790389508239	0.725134036422592	0.2551392333437673	0.05198977871951073
B38_Sp13.BD.MM110.DD_rebin5	0.055478041524026786	0.4193619958216876	0.21921621649793094	1.0	0.4437342438460725	0.002118192932010846	0.2579102779634971	0.31739911222029804	0.2161792713416314	0.42834477182334346	0.22344887970302116	0.34104767534840363	0.3526221664981543	0.4270827904455725	0.07685876083107616	0.4151136974490852	0.4316147554287535	0.08259835637162857	0.4100292898804729	0.28778684948396505	0.08081148008451924	0.34407419705969505	0.3099336919991125	0.2876059282598952	0.08309719266844659
Limnohabitans_sp_63ED37-2_NZ.CP011774.1	0.03786282327381743	0.6741525031781872	0.14753073828814298	0.14516073563174772	1.0	0.005563606436066258	0.17563427366563572	0.24741535111853216	0.2551532882378612	0.6320794712824697	0.21243661413961254	0.2312187517788361	0.3606661385499877	0.5749930625391344	0.04765353727491794	0.5670713123541354	0.6216252514088382	0.048825197332220176	0.5624282536098514	0.4332159696791454	0.045586826176877975	0.3414547084606189	0.2175172665692655	0.19431916826366621	0.04932920089937954
Chitinophaga_niabensis_2636416022	0.0010635222797609172	0.0008274800805208244		0.00011093843113423255	0.0010694128159273366	1.0	0.00011907298107833557	0.0004799384467020781	0.00023253592771246218	0.0008367366373537692	0.00022496238121278006	0.0005858278468365226	0.0009632429140706817	0.0009492178279601592	0.0009092463325451703	0.0009682919450704697	0.0007030775667204903	0.001029020567929032	0.001085261163232227	0.00033099203220832976	0.0009006910300177515	0.0009657674295705757	0.00023183467340693605	0.00024207298626761743	0.0006199088060850922
B4_Fa13.BD.MLB.DN_rebin2	0.035072066777522566	0.2972487770973548	0.52790548761768	0.13917344270224413	0.2850554634541011	0.00013825660509444264	1.0	0.2838746434462401	0.13934762096304287	0.28089063986075763	0.15848383880532926	0.21603534356766366	0.25426475680412547	0.2862884951708346	0.042947263250183054	0.2680615964502721	0.2940012088054838	0.0435282751465165	0.2868110299532308	0.2001872103033333	0.0391658824467994	0.25452080302443636	0.7179548548326531	0.24744674301271585	0.046546947306690324
B22_Fa13.BD.MLB.SN_rebin5	0.04002578625111349	0.34803028765712773	0.19898313284433075	0.1521296225925213	0.347468962172835	0.0020963867227812116	0.24730804886733776	1.0	0.1667460752546508	0.34978139169369454	0.1918795684853741	0.24113539749367208	0.31196348568079907	0.3360592018993248	0.05442002346379103	0.3254954806547177	0.34386837746843363	0.05063773133457738	0.33591182984777856	0.23457695540915227	0.0480510046183006	0.29128664674186244	0.2954142215572905	0.25525032223169125	0.060971135524804605
B58_Su13.BD.MLB.SD.C_rebin3	0.0494343059372918	0.6576537296281884	0.2024674706388516	0.1918150768894331	0.6842361551140659	0.0013297664623118514	0.24064833925208445	0.3197837058105633	1.0	0.6464172709361814	0.28084287362668336	0.2793406042627233	0.46552692505428067	0.63956197845887	0.0635014421650065	0.7240619136004955	0.7037805980417525	0.061952990921865014	0.6409732423550314	0.4319730732478561	0.06108300581552105	0.45699006885854015	0.28702377483888974	0.246335501844219	0.07507339862636075
Limnohabitans_sp_Rim28_NZ.ALKN00000000.1	0.03977828133742864	0.5968679644905445	0.14843226756310837	0.14036446815102452	0.6301099360408897	0.0031353769413646113	0.17477652708567637	0.2529569474084997	0.2391412988966533	1.0	0.21114566855164463	0.2177405999511682	0.3453876954994136	0.5119566106273362	0.05030848158006349	0.5163505935877921	0.5709407977404886	0.04847157335424952	0.5130786282894418	0.3893026109186857	0.047971531000134536	0.3349422034867549	0.2148833825608324	0.1910065067058728	0.059288433281717005
