gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2757585788	211	22.28	3	204	7	207	1.0e-32	133	COG0586	Uncharacterized membrane protein DedA, SNARE-associated domain	208
2757585789	298	22.42	19	293	17	285	1.0e-04	40.9	COG2962	Uncharacterized membrane protein RarD, contains two EamA domains	293
2757585790	161	59.75	1	159	3	161	3.0e-70	257	COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	162
2757585792	397	46.62	1	397	77	470	4.0e-110	391	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	472
2757585793	380	42.69	32	380	3	322	4.0e-96	345	COG2896	Molybdenum cofactor biosynthesis enzyme MoaA	322
2757585794	176	38.37	5	176	1	161	4.0e-33	134	COG0746	Molybdopterin-guanine dinucleotide biosynthesis protein A	192
2757585796	306	28.08	11	301	7	292	1.0e-04	40.6	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	292
2757585797	253	28.46	1	251	5	256	2.0e-14	73.1	COG0730	Uncharacterized membrane protein YfcA	258
2757585800	306	30.6	34	306	44	324	2.0e-55	209	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	324
2757585803	366	52.08	1	361	1	338	2.0e-118	419	COG3839	ABC-type sugar transport system, ATPase component	338
2757585806	1030	40.02	3	1007	2	1009	0.0e+00	934	COG0841	Multidrug efflux pump subunit AcrB	1009
2757585809	194	41.11	1	176	1	175	9.0e-33	133	COG0279	Phosphoheptose isomerase	176
2757585810	208	40	11	191	9	193	3.0e-31	128	COG2823	Osmotically-inducible protein OsmY, contains BON domain	196
2757585811	301	50	16	301	2	286	1.0e-84	306	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	286
2757585812	227	58.22	5	227	3	226	2.0e-78	285	COG0325	Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family	228
2757585815	343	38.86	1	329	1	332	3.0e-88	318	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	332
2757585816	425	51.85	47	424	1	378	7.0e-101	360	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	379
2757585817	179	35.71	1	168	4	171	1.0e-25	109	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component	177
2757585818	227	24.1	20	184	6	171	1.0e-10	60	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2757585821	230	29.88	1	230	37	257	5.0e-28	118	COG1975	Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family	278
2757585822	403	42.79	1	401	1	405	3.0e-102	365	COG3748	Uncharacterized membrane protein	407
2757585825	174	36.24	24	165	3	151	1.0e-29	123	COG0781	Transcription termination factor NusB	151
2757585826	168	45.71	12	145	8	147	9.0e-37	146	COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	152
2757585827	375	57.21	12	212	3	202	5.0e-78	285	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase	203
2757585828	216	46.67	1	207	1	197	3.0e-59	221	COG0307	Riboflavin synthase alpha chain	204
2757585829	192	32.79	16	184	1	183	6.0e-37	147	COG5394	Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA	193
2757585833	112	59.8	1	102	1	102	3.0e-39	153	COG0832	Urease beta subunit	106
2757585835	100	84.85	1	99	1	99	2.0e-44	170	COG0831	Urease gamma subunit	100
2757585836	426	31.93	30	402	5	366	1.0e-64	240	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	366
2757585837	516	42.71	231	516	7	288	4.0e-66	246	COG0559	Branched-chain amino acid ABC-type transport system, permease component	297
2757585838	364	53.05	37	364	27	348	8.0e-118	417	COG0141	Histidinol dehydrogenase	425
2757585839	213	48.37	1	211	2	214	1.0e-56	212	COG0040	ATP phosphoribosyltransferase	290
2757585840	421	64.93	1	421	1	419	0.0e+00	597	COG0766	UDP-N-acetylglucosamine enolpyruvyl transferase	421
2757585841	80	44.3	1	79	1	79	1.0e-21	95	COG5007	Acid stress-induced BolA-like protein IbaG/YrbA, predicted regulator of iron metabolism	80
2757585844	256	52.42	1	242	1	246	7.0e-78	283	COG0496	Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE	252
2757585845	324	42.94	1	322	1	324	9.0e-73	267	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	326
2757585848	395	20.33	24	390	24	390	2.0e-08	53.7	COG2814	Predicted arabinose efflux permease, MFS family	394
2757585850	167	17.03	3	164	1	180	3.0e-10	58.3	COG1335	Nicotinamidase-related amidase	205
2757585852	347	66.96	5	347	1	342	0.0e+00	475	COG1077	Actin-like ATPase involved in cell morphogenesis	342
2757585853	73	36.99	1	73	27	95	2.0e-09	54.1	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	96
2757585855	339	46.47	1	337	123	447	2.0e-92	332	COG0527	Aspartokinase	447
2757585857	256	49.01	1	252	31	280	5.0e-65	241	COG4757	Predicted alpha/beta hydrolase	281
