gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2737836543	158	66	158	SUPERFAMILY	SSF52518			
2737836544	154	3	64	ProSiteProfiles	PS50956	IPR000485	AsnC-type HTH domain	GO:0006355|GO:0043565
2737836544	154	63	152	SUPERFAMILY	SSF54909	IPR011008	Dimeric alpha-beta barrel	
2737836544	154	3	112	SMART	SM00344	IPR019888	Transcription regulator AsnC-type	GO:0003700|GO:0005622|GO:0006355|GO:0043565
2737836544	154	2	62	SUPERFAMILY	SSF46785			
2737836545	422	65	319	SUPERFAMILY	SSF111369			
2737836546	235	11	234	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2737836546	235	39	227	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2737836546	235	151	165	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
2737836546	235	10	232	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737836548	206	16	93	SUPERFAMILY	SSF55136	IPR011256	Regulatory factor, effector binding domain	
2737836548	206	93	205	SUPERFAMILY	SSF55136	IPR011256	Regulatory factor, effector binding domain	
2737836549	506	137	149	ProSitePatterns	PS00933	IPR018483	Carbohydrate kinase, FGGY, conserved site	GO:0005975|GO:0016773
2737836549	506	368	388	ProSitePatterns	PS00445	IPR018483	Carbohydrate kinase, FGGY, conserved site	GO:0005975|GO:0016773
2737836549	506	7	259	SUPERFAMILY	SSF53067			
2737836549	506	259	500	SUPERFAMILY	SSF53067			
2737836550	195	15	174	SUPERFAMILY	SSF100950			
2737836551	111	15	110	SUPERFAMILY	SSF50685	IPR009009	RlpA-like double-psi beta-barrel domain	
2737836553	587	395	586	SUPERFAMILY	SSF55816	IPR008334	5'-Nucleotidase, C-terminal	GO:0009166|GO:0016787
2737836553	587	34	387	SUPERFAMILY	SSF56300			
2737836556	150	4	148	SUPERFAMILY	SSF53474			
2737836558	315	18	232	SUPERFAMILY	SSF103025			
2737836560	212	1	194	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737836561	204	10	201	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2737836562	202	4	202	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
2737836563	304	18	278	SUPERFAMILY	SSF53613			
2737836564	57	36	46	ProSitePatterns	PS00202	IPR018527	Rubredoxin, iron-binding site	GO:0046872
2737836564	57	4	55	ProSiteProfiles	PS50903	IPR024934	Rubredoxin-like domain	GO:0005506
2737836564	57	4	55	SUPERFAMILY	SSF57802			
