gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2737821805	188	3	185	1.8e-55	174.3	TIGR00560	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
2737821807	364	1	361	0.0e+00	538.6	TIGR02089	tartrate dehydrogenase
2737821813	324	1	320	6.3e-72	228.5	TIGR00786	TRAP transporter, DctM subunit
2737821816	164	1	164	5.5e-59	185.7	TIGR00504	pyroglutamyl-peptidase I
2737821825	431	7	429	0.0e+00	616.8	TIGR01326	OAH/OAS sulfhydrylase
2737821835	798	10	798	0.0e+00	1149.2	TIGR01418	phosphoenolpyruvate synthase
2737821836	669	39	663	0.0e+00	505.7	TIGR03648	probable sodium:solute symporter, VC_2705 subfamily
2737821837	121	1	94	1.0e-35	108.1	TIGR00166	ribosomal protein S6
2737821838	96	2	95	5.7e-32	96	TIGR04418	primosomal replication protein PriB
2737821839	93	21	90	2.2e-35	107	TIGR00165	ribosomal protein S18
2737821840	150	1	148	2.9e-46	143.7	TIGR00158	ribosomal protein L9
2737821841	467	23	461	0.0e+00	583.7	TIGR00665	replicative DNA helicase
2737821845	160	77	156	1.0e-38	117.5	TIGR00589	O-6-methylguanine DNA methyltransferase
2737821846	212	2	212	4.0e-89	283.8	TIGR01262	maleylacetoacetate isomerase
2737821847	348	12	347	3.5e-81	258.7	TIGR02272	gentisate 1,2-dioxygenase
2737821852	204	4	29	3.1e-07	16.9	TIGR01409	Tat (twin-arginine translocation) pathway signal sequence
2737821858	459	196	292	1.9e-12	33.2	TIGR00277	HDIG domain
2737821861	97	3	83	6.7e-33	98.7	TIGR02607	addiction module antidote protein, HigA family
2737821865	302	4	302	3.4e-111	358.2	TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
2737821869	191	3	183	3.1e-39	120.8	TIGR02727	5,10-methenyltetrahydrofolate synthetase
2737821880	88	1	81	9.8e-41	125	TIGR03631	ribosomal protein uS13, bacterial form
2737821881	134	15	131	7.0e-58	180.4	TIGR03632	ribosomal protein uS11, bacterial form
