gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2737821805	188	42.16	1	184	10	189	5.0e-21	94.3	COG0558	Phosphatidylglycerophosphate synthase	192
2737821806	299	22.5	12	289	10	287	2.0e-06	46.4	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	292
2737821807	364	47.66	1	363	1	347	6.0e-123	434	COG0473	Isocitrate/isopropylmalate dehydrogenase	348
2737821808	90	60	1	90	2	91	9.0e-28	115	COG0776	Bacterial nucleoid DNA-binding protein	94
2737821813	324	34.88	1	323	62	378	2.0e-45	176	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	379
2737821814	269	32.26	18	232	1	213	2.0e-39	156	COG0235	Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase	219
2737821815	335	31.12	46	322	40	323	2.0e-48	186	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	324
2737821818	417	28.93	170	391	7	234	2.0e-24	106	COG0300	Short-chain dehydrogenase	265
2737821819	266	37.45	22	263	4	217	9.0e-47	180	COG1878	Kynurenine formamidase	218
2737821820	247	33.06	8	239	5	249	7.0e-30	124	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2737821823	308	23.78	26	305	7	292	8.0e-06	44.9	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily	292
2737821824	153	49.26	4	137	5	140	5.0e-43	166	COG1832	Predicted CoA-binding protein	140
2737821825	431	58.56	1	431	1	426	0.0e+00	608	COG2873	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	426
2737821829	170	32.22	61	150	6	94	1.0e-09	55.8	COG3018	Uncharacterized protein	115
2737821833	125	44.53	1	125	11	138	7.0e-28	116	COG3193	Uncharacterized conserved protein GlcG, DUF336 family	141
2737821834	273	46.74	5	273	5	273	1.0e-78	286	COG1806	Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities)	273
2737821835	798	47.84	10	795	4	735	0.0e+00	730	COG0574	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	740
2737821837	121	46.43	2	112	1	112	2.0e-32	131	COG0360	Ribosomal protein S6	112
2737821838	96	34.04	2	93	5	98	2.0e-12	63.8	COG2965	Primosomal replication protein N	103
2737821839	93	56.94	14	85	4	75	3.0e-18	83.7	COG0238	Ribosomal protein S18	75
2737821840	150	54.36	1	149	1	148	3.0e-37	147	COG0359	Ribosomal protein L9	148
2737821841	467	49.32	22	461	1	435	0.0e+00	525	COG0305	Replicative DNA helicase	435
2737821842	554	48.49	94	554	1	436	0.0e+00	513	COG1875	Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	436
2737821844	495	32.87	213	492	1	272	1.0e-39	157	COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	285
2737821845	160	44.05	1	158	1	168	8.0e-40	156	COG0350	O6-methylguanine-DNA--protein-cysteine methyltransferase	168
2737821846	212	33.95	1	211	1	209	3.0e-28	118	COG0625	Glutathione S-transferase	211
2737821847	348	37.2	16	344	15	343	2.0e-70	259	COG3435	Gentisate 1,2-dioxygenase	351
2737821848	399	25.63	7	389	3	387	9.0e-44	171	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2737821849	286	32.87	5	286	15	290	3.0e-52	199	COG2159	Predicted metal-dependent hydrolase, TIM-barrel fold	293
2737821850	257	35.94	1	252	2	256	4.0e-41	161	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2737821851	621	26.35	39	511	8	457	9.0e-58	218	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2737821856	397	41.16	6	396	6	396	3.0e-97	348	COG1804	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	396
2737821858	459	30.99	12	362	6	348	5.0e-57	215	COG3437	Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains	360
2737821859	495	26.22	160	482	26	336	8.0e-32	131	COG0642	Signal transduction histidine kinase	336
2737821860	286	23.96	9	278	5	291	1.0e-30	127	COG3221	ABC-type phosphate/phosphonate transport system, periplasmic component	299
2737821861	97	47.73	1	88	2	89	1.0e-22	97.7	COG3093	Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	104
2737821867	326	23.01	28	246	19	227	6.0e-14	71.8	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2737821868	204	24.12	1	199	2	195	3.0e-08	52.3	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2737821869	191	31.28	1	188	3	189	3.0e-29	121	COG0212	5-formyltetrahydrofolate cyclo-ligase	191
2737821870	677	27.69	353	657	3	296	8.0e-26	112	COG0741	Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	296
2737821871	605	61.28	99	599	1	496	0.0e+00	656	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components	497
2737821872	147	47.93	21	141	9	128	1.0e-35	142	COG1607	Acyl-CoA hydrolase	157
2737821873	297	36.61	8	296	5	297	4.0e-44	171	COG0559	Branched-chain amino acid ABC-type transport system, permease component	297
2737821874	358	38.85	21	331	6	312	5.0e-49	188	COG4177	ABC-type branched-chain amino acid transport system, permease component	314
2737821875	270	46.3	2	258	1	250	1.0e-81	296	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	250
2737821876	260	56.54	6	242	1	237	9.0e-90	323	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	237
2737821877	619	38.75	14	619	9	609	0.0e+00	537	COG1022	Long-chain acyl-CoA synthetase (AMP-forming)	613
2737821878	420	27.98	55	412	1	357	2.0e-44	173	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	366
2737821881	134	65.87	9	134	4	129	2.0e-45	174	COG0100	Ribosomal protein S11	129
2737821882	207	58.45	2	207	2	205	3.0e-58	218	COG0522	Ribosomal protein S4 or related protein	205
2737821883	330	51.41	5	323	1	313	9.0e-94	336	COG0202	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	317
2737821884	131	68.97	1	116	1	116	2.0e-43	168	COG0203	Ribosomal protein L17	116
2737821886	277	21.99	19	276	6	282	5.0e-11	61.6	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2737821887	134	32.54	7	131	10	130	2.0e-17	81.9	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	130
2737821888	539	30	32	537	5	520	5.0e-100	358	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	528
2737821889	391	40.55	32	387	33	388	5.0e-63	235	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	393
2737821890	280	33.33	21	277	6	257	7.0e-43	167	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
2737821891	159	30.65	26	148	4	126	5.0e-10	57.6	COG1846	DNA-binding transcriptional regulator, MarR family	126
2737821892	761	40.61	396	750	1	352	2.0e-98	354	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	363
2737821894	355	27.87	13	354	2	329	4.0e-45	175	COG2334	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist	331
2737821895	331	37.07	11	331	4	319	2.0e-64	239	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2737821897	296	26.37	7	296	3	247	6.0e-57	214	COG0136	Aspartate-semialdehyde dehydrogenase	334
2737821899	436	22.95	24	435	21	445	2.0e-31	130	COG2079	2-methylcitrate dehydratase PrpD	453
2737821900	357	38.68	41	354	1	317	9.0e-62	230	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2737821901	226	36.64	1	226	6	229	8.0e-41	160	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family	268
2737821903	372	38.9	1	368	3	378	6.0e-69	254	COG2850	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain	383
2737821905	370	26.59	19	369	12	337	2.0e-40	159	COG3317	Uncharacterized lipoprotein	342
2737821906	294	50.17	1	294	2	298	9.0e-90	323	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	299
2737821909	262	37.6	1	254	2	251	3.0e-49	188	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase RhmA	255
2737821910	398	22.28	10	393	2	330	2.0e-27	116	COG0620	Methionine synthase II (cobalamin-independent)	330
2737821911	387	18.75	57	151	39	130	8.0e-04	38.6	COG1917	Cupin domain protein related to quercetin dioxygenase	131
2737821914	332	32.07	1	331	1	329	7.0e-40	158	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	336
2737821919	142	20.16	2	124	1	127	8.0e-10	56.3	COG1848	Predicted nucleic acid-binding protein, contains PIN domain	140
2737821920	212	32.71	1	207	11	224	1.0e-33	136	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2737821921	523	27.55	28	516	41	547	1.0e-59	224	COG0747	ABC-type transport system, periplasmic component	556
2737821922	339	39.09	10	338	3	312	1.0e-63	236	COG0601	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	317
2737821923	295	40.35	9	292	4	288	6.0e-63	234	COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	289
2737821924	325	49.07	3	321	1	315	4.0e-102	364	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	316
2737821925	335	42.11	5	318	1	312	5.0e-85	308	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	316
2737821926	306	30.89	50	306	35	291	4.0e-39	155	COG2159	Predicted metal-dependent hydrolase, TIM-barrel fold	293
2737821927	517	22.68	12	509	1	455	6.0e-32	132	COG0277	FAD/FMN-containing dehydrogenase	459
2737821928	567	25.31	291	528	2	236	4.0e-11	63.6	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2737821929	509	37.74	15	508	13	525	2.0e-111	396	COG0318	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	534
2737821930	421	32.39	1	420	2	408	4.0e-95	341	COG2081	Predicted flavoprotein YhiN	408
2737821931	267	42.38	6	264	1	260	2.0e-69	255	COG0708	Exonuclease III	261
2737821932	224	34.09	2	220	2	201	2.0e-45	175	COG0461	Orotate phosphoribosyltransferase	201
2737821933	78	34.21	3	78	2	74	6.0e-07	45.7	COG4456	Virulence-associated protein VagC (function unknown)	74
2737821934	135	29.85	1	132	1	131	1.0e-18	85.6	COG1487	Predicted nucleic acid-binding protein, contains PIN domain	133
2737821938	471	49.05	4	471	2	443	0.0e+00	519	COG0174	Glutamine synthetase	443
2737821939	284	30.61	18	262	4	235	9.0e-49	187	COG1058	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA	255
2737821940	329	24.06	42	306	21	255	5.0e-18	85.5	COG3000	Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily	271
2737821942	414	48.92	2	413	1	404	2.0e-108	386	COG0508	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	404
2737821943	959	56.17	12	950	1	905	0.0e+00	1294	COG0567	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes	906
