gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2757592835	392	6	390	0.0e+00	590.2	TIGR01034	S-adenosylmethionine synthetase
2757592839	283	39	227	7.2e-64	201	TIGR03598	ribosome biogenesis GTP-binding protein YsxC/EngB
2757592843	440	27	438	0.0e+00	508.2	TIGR01048	diaminopimelate decarboxylase
2757592846	252	14	251	4.0e-94	300.8	TIGR01830	3-oxoacyl-(acyl-carrier-protein) reductase
2757592847	787	56	706	0.0e+00	829.8	TIGR03904	uncharacterized radical SAM protein YgiQ
2757592848	157	10	153	4.1e-58	181.7	TIGR00086	SsrA-binding protein
2757592858	790	1	790	0.0e+00	742.5	TIGR00593	DNA polymerase I
2757592861	346	2	343	9.8e-126	405.5	TIGR01420	pilus retraction protein PilT
2757592862	229	1	229	1.9e-78	249.3	TIGR00044	pyridoxal phosphate enzyme, YggS family
2757592863	102	8	91	7.0e-11	28.8	TIGR02385	addiction module toxin, RelE/StbE family
2757592869	354	1	353	0.0e+00	550.5	TIGR02089	tartrate dehydrogenase
2757592874	271	1	269	1.1e-82	263.5	TIGR00577	DNA-formamidopyrimidine glycosylase
2757592875	345	7	283	2.3e-98	315.1	TIGR01084	A/G-specific adenine glycosylase
2757592877	554	2	547	0.0e+00	462.5	TIGR00634	DNA repair protein RecN
2757592879	337	5	332	9.7e-97	310.5	TIGR00331	heat shock gene repressor HrcA
2757592883	368	2	368	2.8e-101	325.1	TIGR00663	DNA polymerase III, beta subunit
2757592884	464	18	462	0.0e+00	563.7	TIGR00362	chromosomal replication initiator protein DnaA
2757592885	44	1	44	8.6e-28	82.6	TIGR01030	ribosomal protein L34, bacterial type
2757592886	135	1	129	2.5e-09	23.6	TIGR00188	ribonuclease P protein component, eubacterial
2757592887	91	5	77	6.3e-30	89.2	TIGR00278	putative membrane protein insertion efficiency factor
2757592888	559	373	552	5.8e-67	212.5	TIGR03592	membrane protein insertase, YidC/Oxa1 family, C-terminal domain
2757592888	559	4	372	4.0e-106	342.6	TIGR03593	membrane protein insertase, YidC/Oxa1 family, N-terminal domain
2757592889	478	13	478	5.1e-92	296.2	TIGR00450	tRNA modification GTPase TrmE
2757592889	478	231	374	1.8e-18	53.9	TIGR00231	small GTP-binding protein domain
2757592890	350	71	340	6.1e-107	343.1	TIGR00393	KpsF/GutQ family protein
2757592891	182	18	171	8.5e-44	135.3	TIGR01670	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family
2757592892	231	27	212	1.6e-46	144.1	TIGR04409	LPS export ABC transporter periplasmic protein LptC
2757592894	400	9	393	2.1e-94	302.6	TIGR00836	ammonium transporter
2757592895	384	165	384	5.4e-63	199.3	TIGR01843	type I secretion membrane fusion protein, HlyD family
2757592896	706	2	698	0.0e+00	629.8	TIGR03375	type I secretion system ATPase, LssB family
2757592898	379	12	370	0.0e+00	459.5	TIGR01392	homoserine O-acetyltransferase
2757592899	192	5	192	5.3e-77	243.8	TIGR02081	methionine biosynthesis protein MetW
2757592901	237	1	235	2.3e-55	173.5	TIGR00046	RNA methyltransferase, RsmE family
2757592905	264	5	254	3.6e-80	255	TIGR00755	ribosomal RNA small subunit methyltransferase A
2757592909	183	18	135	1.3e-33	101.8	TIGR01837	poly(hydroxyalkanoate) granule-associated protein
2757592913	397	14	381	7.8e-117	376.4	TIGR01891	amidohydrolase
2757592915	263	63	253	4.7e-25	74.7	TIGR00671	pantothenate kinase, type III
2757592930	609	3	156	1.1e-27	83.8	TIGR00231	small GTP-binding protein domain
2757592930	609	5	603	0.0e+00	927.8	TIGR01394	GTP-binding protein TypA/BipA
2757592931	263	1	172	4.9e-56	175.8	TIGR00431	tRNA pseudouridine(55) synthase
2757592933	255	1	255	1.4e-68	217.2	TIGR01291	ABC-2 type transporter, NodJ family
2757592934	314	11	312	6.0e-117	375.9	TIGR01288	ATP-binding ABC transporter family nodulation protein NodI
2757592935	371	1	371	3.3e-96	308.5	TIGR00641	methylmalonyl-CoA mutase N-terminal domain
2757592936	177	2	177	4.4e-53	166.9	TIGR02550	flagellar hook-associated protein 3
2757592937	1054	1	337	1.4e-48	152.3	TIGR02492	flagellar hook-associated protein FlgK
2757592938	272	62	272	1.7e-52	164.6	TIGR00260	threonine synthase
2757592946	427	18	416	0.0e+00	461.3	TIGR00407	gamma-glutamyl phosphate reductase
2757592953	140	1	97	4.1e-38	117	TIGR03717	integral membrane protein, YjbE family
2757592954	173	7	30	9.6e-15	40.2	TIGR02532	prepilin-type N-terminal cleavage/methylation domain
2757592962	178	23	171	9.3e-66	206.3	TIGR00581	molybdenum cofactor biosynthesis protein MoaC
2757592967	473	12	472	4.9e-122	393.7	TIGR00928	adenylosuccinate lyase
2757592983	239	5	202	5.8e-55	173.4	TIGR01428	2-haloalkanoic acid dehalogenase, type II
2757592983	239	7	187	8.9e-24	71.6	TIGR01493	Haloacid dehalogenase superfamily, subfamily IA, variant 2 with 3rd motif like haloacid dehalogenase
2757592990	238	13	219	3.1e-34	104.6	TIGR00697	conserved hypothetical integral membrane protein
2757592999	294	36	289	6.6e-66	208.3	TIGR00157	ribosome small subunit-dependent GTPase A
2757593002	125	1	116	1.5e-52	162.7	TIGR01024	ribosomal protein L19, bacterial type
2757593003	201	1	183	4.4e-54	169.2	TIGR00088	tRNA (guanine-N1)-methyltransferase
2757593006	67	1	58	1.3e-20	59.5	TIGR00690	DNA-directed RNA polymerase, omega subunit
2757593007	206	5	184	1.2e-73	232.6	TIGR03263	guanylate kinase
2757593008	300	1	300	8.4e-64	202	TIGR00255	TIGR00255 family protein
2757593009	241	7	241	1.9e-119	383.1	TIGR01966	ribonuclease PH
2757593010	204	7	200	8.8e-48	148.2	TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
2757593011	430	33	398	1.7e-106	342.3	TIGR00539	putative oxygen-independent coproporphyrinogen III oxidase
2757593012	173	2	171	9.7e-44	135.2	TIGR00077	lipoprotein signal peptidase
2757593014	421	3	419	3.0e-125	404.4	TIGR02034	sulfate adenylyltransferase, large subunit
2757593022	290	1	287	1.6e-123	397.6	TIGR00515	acetyl-CoA carboxylase, carboxyl transferase, beta subunit
2757593023	270	8	268	7.1e-72	227.3	TIGR00262	tryptophan synthase, alpha subunit
2757593024	442	26	411	0.0e+00	621.7	TIGR00263	tryptophan synthase, beta subunit
2757593029	332	6	328	2.5e-76	242.8	TIGR01397	flagellar motor switch protein FliM
2757593030	122	40	116	1.3e-33	101	TIGR02480	flagellar motor switch protein FliN
2757593033	448	4	442	0.0e+00	471.2	TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family
2757593033	448	4	445	0.0e+00	546.8	TIGR01574	tRNA-N(6)-(isopentenyl)adenosine-37 thiotransferase enzyme MiaB
2757593035	64	5	60	1.5e-20	59.2	TIGR00012	ribosomal protein L29
