Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757592880	GT83(3-402)	GT83	N	N	2
2757593206	AA4(3-218)	N	N	N	1
2757593235	AA6(5-173)	N	N	N	1
2757593370	GH103(122-412)	GH103	GH103	N	3
2757593435	GT9(112-377)	GT9	GT9	N	3
2757593441	CE10(58-290)	N	N	N	1
2757593503	GT51(78-251)	GT51	GT51	N	3
2757593520	GT2_Glycos_transf_2(7-113)	GT2	N	N	2
2757593521	GT2_Glycos_transf_2(4-117)	N	N	N	1
2757593522	CE4(59-198)	CE4	N	N	2
2757593523	GT4(209-349)	N	N	N	1
2757593566	CE10(5-268)	N	N	N	1
2757593584	GH23(135-276)	GH23	GH23	Y(1-32)	3
2757593703	GT4(207-375)	GT4	GT4	N	3
2757593712	GT2_Glycos_transf_2(175-301)	N	N	N	1
2757593814	GH3(58-296)	GH3	GH3	N	3
2757593902	GT41(280-599)	GT41	GT41	N	3
2757594160	GT2_Glycos_transf_2(17-126)	N	N	N	1
2757594161	GT4(212-361)	N	GT4	N	2
2757594229	GH102(160-301)	GH102	GH102	Y(1-49)	3
2757594412	GH109(4-114)	N	N	N	1
2757594425	GH23(510-643)	GH23	GH23	Y(1-23)	3
2757594444	AA4(43-289)	N	N	N	1
2757594453	CE1(21-274)	N	N	N	1
2757594491	CE10(41-217)	N	N	N	1
2757594508	CE10(79-220)	N	N	N	1
2757594542	AA4(9-242)	N	N	N	1
2757594577	CE10(58-282)	N	N	N	1
2757594683	GT30(47-224)	N	GT30	N	2
2757594684	GT30(29-199)	GT30	GT30	N	3
2757594727	GT30(4-178)	GT30	GT30	N	3
2757594769	GT51(66-243)	GT51	N	N	2
2757594772	CE11(4-279)	CE11	CE11	N	3
2757594883	GT83(19-420)	N	N	N	1
2757594987	GT19(10-364)	GT19	GT19	N	3
2757595165	GT4(200-347)	GT4	GT4	N	3
2757595295	GT28(184-342)	GT28	GT28	N	3
2757595344	GT9(77-300)	GT9	N	N	2
2757595376	GH13_11(173-527)	GH13+GH77	CBM48	N	3
2757595377	GH13_9(108-408)	GH13	CBM48	N	3
2757595394	CE4(65-216)	N	N	Y(1-28)	1
2757595507	GH109(3-117)	N	N	N	1
2757595730	GH23(104-206)	GH23	N	N	2
2757595781	GT104(6-367)	N	N	N	1
2757595835	CE10(32-260)	N	N	N	1
2757593852	N	CE4	CE4	N	2
2757593132	N	CE4	CE4	N	2
2757593173	N	GH16	N	N	1
2757593846	N	GH23	N	N	1
2757593679	N	AA3	N	N	1
2757593593	N	GT0	GT0	N	2
2757592843	N	N	GT51	N	1
2757592924	N	N	GH19	N	1
2757593163	N	N	CE8	N	1
2757593219	N	N	GT13	N	1
2757593321	N	N	GH101	N	1
2757593532	N	N	GH6	N	1
2757593848	N	N	GH13_11	N	1
2757593884	N	N	GH6	N	1
2757593891	N	N	GH28	N	1
2757594173	N	N	GH13_30	N	1
2757594787	N	N	GH23	Y(1-24)	1
2757594788	N	N	GH23	N	1
2757594996	N	N	AA1	N	1
