gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2757592826	348	23.56	1	343	1	332	4.0e-40	159	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	332
2757592827	162	24.26	16	151	21	153	9.0e-07	46.5	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component	177
2757592828	576	46.59	336	573	2	250	3.0e-75	276	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	250
2757592829	242	49.15	5	239	1	236	1.0e-78	286	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	237
2757592831	339	23.13	16	314	10	314	3.0e-20	93	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	335
2757592832	325	37.62	5	322	1	317	1.0e-61	230	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2757592834	346	37.29	41	332	1	277	1.0e-60	227	COG3386	Sugar lactone lactonase YvrE	307
2757592835	392	67.18	1	391	1	387	0.0e+00	658	COG0192	S-adenosylmethionine synthetase	388
2757592836	299	32.75	17	297	23	301	2.0e-49	189	COG1560	Lauroyl/myristoyl acyltransferase	308
2757592837	296	38.7	4	289	19	308	2.0e-62	232	COG1560	Lauroyl/myristoyl acyltransferase	308
2757592838	303	27.86	25	303	19	282	2.0e-17	83.2	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2757592839	283	43.72	37	230	5	196	2.0e-53	202	COG0218	GTP-binding protein EngB required for normal cell division	200
2757592840	208	48.6	26	131	16	121	2.0e-20	92.4	COG2863	Cytochrome c553	121
2757592841	335	41.61	27	307	4	271	2.0e-61	229	COG2041	Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit	271
2757592842	199	42.27	3	196	7	197	2.0e-32	132	COG2717	Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit	209
2757592843	440	45.69	27	416	3	394	1.0e-117	417	COG0019	Diaminopimelate decarboxylase	394
2757592845	192	28.05	12	168	8	171	3.0e-18	84.9	COG2059	Chromate transport protein ChrA	195
2757592846	252	46.25	8	251	2	251	2.0e-49	189	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2757592847	787	21.01	403	733	163	490	3.0e-34	141	COG1032	Radical SAM superfamily enzyme YgiQ, UPF0313 family	490
2757592848	157	57.14	4	157	1	153	8.0e-52	196	COG0691	tmRNA-binding protein	153
2757592849	145	44.83	1	143	1	144	9.0e-39	152	COG2867	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module	146
2757592850	112	30.3	1	99	1	98	5.0e-11	59.9	COG2914	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily	99
2757592855	101	47.42	1	97	1	96	6.0e-23	98.8	COG5470	Uncharacterized conserved protein, DUF1330 family	96
2757592857	734	28.04	11	539	22	520	1.0e-74	275	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2757592858	790	55.32	192	790	1	593	0.0e+00	746	COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains	593
2757592859	218	42.55	10	194	9	196	3.0e-32	132	COG2823	Osmotically-inducible protein OsmY, contains BON domain	196
2757592860	303	45.67	15	303	1	286	2.0e-82	299	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	286
2757592861	346	50.15	1	337	3	339	3.0e-110	392	COG2805	Tfp pilus assembly protein PilT, pilus retraction ATPase	353
