gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2757581539	236	37.29	3	234	1	234	1.0e-37	149	COG3662	Uncharacterized conserved protein, DUF2236 family	300
2757581545	325	23.79	125	322	1	167	4.0e-17	82.2	COG0516	IMP dehydrogenase/GMP reductase	170
2757581546	776	39.53	23	688	1	655	0.0e+00	564	COG0210	Superfamily I DNA or RNA helicase	655
2757581548	346	33.97	29	334	5	314	5.0e-55	208	COG2334	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist	331
2757581549	930	53.99	332	930	1	593	0.0e+00	744	COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains	593
2757581550	734	27.99	9	569	20	545	2.0e-75	277	COG0659	Sulfate permease or related transporter, MFS superfamily	554
2757581552	333	55.26	4	333	3	322	3.0e-109	388	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III	323
2757581553	299	48.47	3	296	21	309	2.0e-78	286	COG0331	Malonyl CoA-acyl carrier protein transacylase	310
2757581555	558	40.32	1	554	19	537	2.0e-128	453	COG2303	Choline dehydrogenase or related flavoprotein	542
2757581556	252	33.99	1	250	5	255	4.0e-16	78.5	COG0730	Uncharacterized membrane protein YfcA	258
2757581557	699	34.7	4	619	3	596	2.0e-125	443	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
2757581558	176	37.89	7	166	1	159	3.0e-15	74.8	COG2891	Cell shape-determining protein MreD	167
2757581559	305	28.57	11	282	1	271	7.0e-42	164	COG1792	Cell shape-determining protein MreC	284
2757581560	281	67.02	2	281	61	342	1.0e-108	386	COG1077	Actin-like ATPase involved in cell morphogenesis	342
2757581561	591	28	193	541	1	333	1.0e-44	174	COG0642	Signal transduction histidine kinase	336
2757581562	282	58.72	4	282	7	287	3.0e-115	408	COG0788	Formyltetrahydrofolate hydrolase	287
2757581564	454	45.43	18	449	11	441	0.0e+00	467	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	449
2757581569	331	28.93	98	207	8	166	1.0e-12	67.3	COG0681	Signal peptidase I	166
2757581570	233	47.84	7	233	4	234	5.0e-63	234	COG0571	dsRNA-specific ribonuclease	235
2757581571	336	47.33	39	336	2	296	3.0e-99	355	COG1159	GTPase Era, involved in 16S rRNA processing	298
