Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757581544	CE10(36-160)	N	N	N	1
2757581555	AA3_2(1-549)	AA3+AA8	AA3	N	3
2757581654	GH3(59-296)	GH3	GH3	N	3
2757581754	AA4(3-218)	N	N	N	1
2757581800	CE10(31-291)	N	N	N	1
2757581811	GT28(184-342)	GT28	GT28	N	3
2757581865	CE10(5-148)	N	N	N	1
2757581979	CE1(21-273)	N	N	N	1
2757581998	CE11(4-279)	CE11	CE11	N	3
2757582001	GT51(66-243)	GT51	N	N	2
2757582239	AA4(41-263)	N	N	N	1
2757582335	GH109(4-116)	N	N	N	1
2757582477	GH23(129-226)	GH23	N	N	2
2757582635	GT19(10-364)	GT19	GT19	N	3
2757582694	GT4(209-349)	N	N	N	1
2757582695	CE4(58-198)	CE4	N	N	2
2757582696	GT2_Glycos_transf_2(4-112)	N	N	N	1
2757582697	GT2_Glycos_transf_2(13-119)	GT2	N	N	2
2757582810	GH102(83-223)	GH102	GH102	N	3
2757582819	AA7(29-239)	N	N	N	1
2757583058	GH23(59-161)	GH23	N	N	2
2757583074	CE4(64-212)	N	N	Y(1-43)	1
2757583138	AA6(3-173)	N	N	N	1
2757583150	GT4(222-365)	GT4	GT4	N	3
2757583204	GH23(133-276)	GH23	GH23	Y(1-32)	3
2757583235	CE10(33-256)	N	N	N	1
2757583432	GH103(93-383)	GH103	GH103	Y(1-39)	3
2757583611	GH23(516-654)	GH23	GH23	Y(1-34)	3
2757583725	GT9(77-300)	GT9	N	N	2
2757583745	CE10(20-310)	N	N	N	1
2757583748	GT104(258-436)	N	N	N	1
2757583822	GT51(78-251)	GT51	GT51	N	3
2757583874	CE10(89-307)	N	N	N	1
2757584124	GH109(3-117)	N	N	N	1
2757582880	N	CE4	CE4	N	2
2757582490	N	CE4	CE4	N	2
2757582629	N	GT0	GT0	N	2
2757581974	N	N	PL22	N	1
2757582214	N	N	GH28	N	1
2757582221	N	N	GH6	N	1
2757582475	N	N	GH13_11	N	1
2757582561	N	N	GH19	N	1
2757583140	N	N	GH13_30	N	1
2757583554	N	N	AA1	N	1
2757583663	N	N	GH101	N	1
2757583816	N	N	CE8	N	1
2757583825	N	N	GT51	N	1
2757583938	N	N	GH23	N	1
2757583939	N	N	GH23	Y(1-22)	1
