Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757598663	GT35(109-817)	GT35	GT35	N	3
2757598664	GT5(2-482)	GT5	GT5	N	3
2757598666	GH13_11(179-536)	GH13+GH77	CBM48	N	3
2757598667	CBM48(128-213)+GH13_9(276-580)	GH13+CBM48	CBM48	N	3
2757598668	GH13_23(37-385)	GH13	GH13_23	N	3
2757598745	GT104(35-269)	N	N	N	1
2757598769	GH3(71-314)	GH3	GH3	Y(1-26)	3
2757598979	GT51(81-255)	GT51	GT51	N	3
2757598989	GT9(114-372)	GT9	GT9	N	3
2757598991	GT83(15-467)	N	GT0	N	2
2757599007	GT28(189-343)	GT28	GT28	N	3
2757599013	CE11(4-279)	CE11	CE11	N	3
2757599015	GT51(56-238)	GT51	N	N	2
2757599058	AA3_2(5-533)	AA3+AA8	AA3_2	N	3
2757599143	CE10(37-260)	N	N	N	1
2757599225	GH102(208-346)	GH102	GH102	N	3
2757599317	AA3_2(10-537)	AA3+AA8	AA3	N	3
2757599537	GH23(97-234)	GH23	CBM50	Y(1-27)	3
2757599633	CE10(24-299)	N	N	N	1
2757599639	GT9(78-262)	N	N	N	1
2757599641	GT41(25-594)	GT41	GT41	N	3
2757599694	GT19(12-371)	GT19	GT19	N	3
2757599725	GT51(2-147)	GT51	GT51	N	3
2757599735	CE10(53-197)	N	N	N	1
2757599941	GT83(21-394)	GT83	GT0	N	3
2757600136	GT4(217-366)	GT4	GT4	N	3
2757600356	AA4(53-256)	N	N	N	1
2757600626	GT2_Glycos_transf_2(10-120)	N	N	N	1
2757600635	AA3_2(3-529)	AA3+AA8	AA3	N	3
2757600687	GT9(78-300)	GT9	N	N	2
2757600688	GT30(68-246)	GT30	GT30	N	3
2757600719	CE4(60-198)	CE4	N	N	2
2757600720	GT4(215-363)	N	N	N	1
2757600722	GT9(103-335)	GT9	N	N	2
2757600724	GT2_Glycos_transf_2(5-139)	N	GT2	N	2
2757600725	GT2_Glycos_transf_2(25-132)	N	N	N	1
2757600835	AA3_2(3-539)	AA3+AA8	AA3_2	N	3
2757600955	GT4(198-349)	N	GT4	N	2
2757601041	AA4(8-221)	N	N	N	1
2757601088	GT83(11-502)	GT83	GT83	N	3
2757601128	GH103(84-380)	GH103	GH103	Y(1-20)	3
2757601154	GT9(53-306)	GT9	GT9	N	3
2757601184	GT4(164-293)	N	N	N	1
2757601222	AA3_2(5-566)	AA3+AA8	AA3	N	3
2757601283	CE10(32-296)	N	N	N	1
2757601337	AA6(5-174)	N	N	N	1
2757601364	CE4(46-200)	N	N	N	1
2757601555	AA3(31-533)	N	N	N	1
2757601577	AA4(5-507)	AA4	AA4	N	3
2757601617	CE10(53-204)	N	N	N	1
2757601687	GH23(502-631)	GH23	GH23	Y(1-24)	3
2757601748	CE10(5-189)	N	N	N	1
2757598715	N	CE4	CE4	N	2
2757599696	N	CE11	N	N	1
2757600539	N	GH0	N	N	1
2757599974	N	GH23	N	N	1
2757601653	N	GH23	N	N	1
2757600574	N	AA2	N	N	1
2757600002	N	GT0	GT0	N	2
2757598665	N	N	GH13_11	N	1
2757598981	N	N	GT51	N	1
2757599165	N	N	CE8	N	1
2757599194	N	N	GH13_30	N	1
2757599892	N	N	GH28	N	1
2757599973	N	N	GH13_11	N	1
2757600024	N	N	GH6	N	1
2757600123	N	N	AA1	N	1
2757600349	N	N	GT13	N	1
2757600848	N	N	GH23	Y(1-27)	1
2757600849	N	N	GH23	N	1
2757600984	N	N	GH101	N	1
2757601097	N	N	GT1	N	1
2757601111	N	N	GH19	N	1
2757601220	N	N	CBM50	N	1
2757601244	N	N	GT4	N	1
2757601410	N	N	CE12	N	1
