gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2757584205	555	71.94	1	555	1	556	0.0e+00	935	KO:K00108	choline dehydrogenase [EC:1.1.99.1]	EC:1.1.99.1	Yes
2757584206	371	54.94	27	369	97	436	3.0e-129	427	KO:K00471	gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	EC:1.14.11.1	Yes
2757584208	504	76.55	6	504	5	503	0.0e+00	940	KO:K01133	choline-sulfatase [EC:3.1.6.6]	EC:3.1.6.6	Yes
2757584209	260	67.82	1	260	1	258	4.1e-115	376	KO:K08299	crotonobetainyl-CoA hydratase [EC:4.2.1.149]	EC:4.2.1.149	Yes
2757584210	386	75.65	1	386	1	386	0.0e+00	685	KO:K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	EC:1.3.8.7	Yes
2757584212	811	61.71	1	806	96	1003	0.0e+00	1090	KO:K08300	ribonuclease E [EC:3.1.26.12]	EC:3.1.26.12	Yes
2757584217	419	67.23	4	417	6	412	0.0e+00	642	KO:K00574	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	EC:2.1.1.79	Yes
2757584220	484	81.82	1	483	1	480	0.0e+00	893	KO:K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	Yes
2757584220	484	81.82	1	483	1	480	0.0e+00	893	KO:K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	Yes
2757584223	160	60	4	153	13	162	2.2e-60	211	KO:K00127	formate dehydrogenase subunit gamma		Yes
2757584224	676	52.63	12	675	10	663	0.0e+00	821	KO:K06978	uncharacterized protein		Yes
2757584227	403	56.78	8	397	20	404	0.0e+00	473	KO:K02000	glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]	EC:3.6.3.32	Yes
2757584228	287	74.36	5	277	3	275	0.0e+00	462	KO:K02001	glycine betaine/proline transport system permease protein		Yes
2757584229	287	73.36	5	278	25	298	0.0e+00	472	KO:K02002	glycine betaine/proline transport system substrate-binding protein		Yes
2757584232	363	73	1	363	1	363	0.0e+00	608	KO:K03593	ATP-binding protein involved in chromosome partitioning		Yes
2757584233	728	81.4	39	727	4	696	0.0e+00	1330	KO:K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	EC:6.1.1.10	Yes
2757584234	546	64.3	9	546	8	556	0.0e+00	806	KO:K03321	sulfate permease, SulP family		Yes
2757584236	283	82.29	12	282	22	292	0.0e+00	508	KO:K05896	segregation and condensation protein A		Yes
2757584237	522	80.27	1	517	1	514	0.0e+00	955	KO:K00278	L-aspartate oxidase [EC:1.4.3.16]	EC:1.4.3.16	Yes
2757584239	554	73.74	3	551	2	557	0.0e+00	963	KO:K00108	choline dehydrogenase [EC:1.1.99.1]	EC:1.1.99.1	Yes
2757584240	269	71.03	15	266	1	252	0.0e+00	423	KO:K07090	uncharacterized protein		Yes
2757584241	657	67.95	1	648	1	649	0.0e+00	1030	KO:K05515	penicillin-binding protein 2		Yes
2757584242	176	58.52	1	176	1	176	1.9e-73	250	KO:K03571	rod shape-determining protein MreD		Yes
2757584243	308	55.33	1	299	1	300	3.1e-109	364	KO:K03570	rod shape-determining protein MreC		Yes
2757584244	347	93.37	1	347	1	347	0.0e+00	728	KO:K03569	rod shape-determining protein MreB and related proteins		Yes
2757584245	99	68.69	1	99	1	99	4.5e-44	159	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	Yes
2757584245	99	68.69	1	99	1	99	4.5e-44	159	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	Yes
2757584248	424	75.37	12	421	13	420	0.0e+00	716	KO:K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	EC:4.1.1.20	Yes
2757584249	200	54.84	5	190	12	197	5.8e-71	245	KO:K17247	methionine sulfoxide reductase heme-binding subunit		Yes
2757584250	326	69.49	1	326	1	330	0.0e+00	522	KO:K07147	methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]	EC:1.8.-	Yes
2757584252	238	76.44	1	225	1	223	8.2e-123	396	KO:K03978	GTP-binding protein		Yes
