Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757587760	CE4(41-189)	N	N	N	1
2757587955	GH23(136-276)	GH23	CBM50	Y(1-33)	3
2757588091	GT2_Glycos_transf_2(8-111)	N	GT2	N	2
2757588126	GT2_Glycos_transf_2(21-186)	GT2	GT2	N	3
2757588252	AA3_2(2-430)	AA3+AA8	AA3_2	N	3
2757588469	GT30(26-200)	GT30	GT30	N	3
2757588572	AA3_2(5-569)	AA3+AA8	AA3	N	3
2757588587	AA4(57-288)	N	N	N	1
2757588622	CE10(432-675)	N	N	N	1
2757588732	GT83(1-454)	GT83	N	N	2
2757588898	GH23(23-146)	N	N	N	1
2757588922	GH102(211-348)	GH102	GH102	N	3
2757588944	AA3_2(10-537)	AA3+AA8	AA3	N	3
2757589037	GT104(2-365)	N	GT104	N	2
2757589098	GT51(2-162)	GT51	GT51	N	3
2757589166	GT4(221-362)	GT4	GT4	N	3
2757589281	CE11(4-279)	CE11	CE11	N	3
2757589283	GT51(62-244)	GT51	GT51	N	3
2757589315	AA4(2-190)	N	N	N	1
2757589326	GT19(15-368)	GT19	GT19	N	3
2757589493	AA6(4-174)	N	N	N	1
2757589657	CE10(13-311)	N	N	N	1
2757589660	GH103(55-352)	GH103	GH103	Y(1-22)	3
2757589712	GH23(503-634)	GH23	GH23	Y(1-26)	3
2757589843	GH23(138-249)	N	N	N	1
2757588545	N	CE4	CE4	N	2
2757587815	N	GH23	N	Y(1-42)	1
2757587946	N	GH23	N	N	1
2757588784	N	GT0	GT0	N	2
2757587906	N	GT28	GT28	N	2
2757588125	N	GT83	N	N	1
2757587614	N	N	GH6	N	1
2757588245	N	N	AA1	N	1
2757588718	N	N	GH28	N	1
2757588992	N	N	GH19	N	1
2757589095	N	N	GT51	N	1
2757589738	N	N	GT13	N	1
2757589845	N	N	GH13_11	N	1
