Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757604389	GT4(226-373)	GT4	GT4	N	3
2757604675	GT19(10-291)	GT19	GT19	N	3
2757604806	GT2_Glycos_transf_2(4-118)	N	N	N	1
2757604808	GT4(209-349)	N	N	N	1
2757604892	CE11(4-279)	CE11	CE11	N	3
2757604895	GT51(66-242)	GT51	N	N	2
2757605205	CE10(6-264)	N	N	N	1
2757605395	GH23(135-278)	GH23	GH23	Y(1-32)	3
2757605414	AA6(5-173)	N	N	N	1
2757605496	GH23(396-529)	GH23	GH23	N	3
2757605936	CE10(33-310)	N	N	N	1
2757606086	GT2_Glycos_transf_2(12-118)	GT2	N	N	2
2757606187	GT51(78-251)	GT51	GT51	N	3
2757606221	GH109(3-117)	N	N	N	1
2757606283	AA4(3-218)	N	N	N	1
2757606336	GT41(267-591)	GT41	GT41	N	3
2757606357	GT28(184-269)	GT28	GT28	N	3
2757606388	CE10(37-217)	N	N	N	1
2757606726	GH3(59-296)	GH3	GH3	N	3
2757606744	CE4(76-218)	CE4	N	N	2
2757605464	N	CE4	CE4	N	2
2757605009	N	GT0	N	N	1
2757604805	N	GT2	N	N	1
2757605916	N	GT9	N	N	1
2757604644	N	GT30	N	Y(1-24)	1
2757604451	N	N	GH101	N	1
2757604706	N	N	GH6	N	1
2757604854	N	N	GH6	N	1
2757605136	N	N	GH13_11	N	1
2757605416	N	N	GH13_30	N	1
2757606347	N	N	GH28	N	1
2757606385	N	N	GH23	N	1
2757606559	N	N	PL22	N	1
