gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2757585789	298	53	141	SUPERFAMILY	SSF103481			
2757585789	298	197	293	SUPERFAMILY	SSF103481			
2757585790	161	1	161	ProSiteProfiles	PS51355	IPR000889	Glutathione peroxidase	GO:0004602|GO:0006979|GO:0055114
2757585790	161	23	38	ProSitePatterns	PS00460	IPR000889	Glutathione peroxidase	GO:0004602|GO:0006979|GO:0055114
2757585790	161	59	66	ProSitePatterns	PS00763	IPR000889	Glutathione peroxidase	GO:0004602|GO:0006979|GO:0055114
2757585790	161	1	158	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
2757585792	397	165	172	ProSitePatterns	PS00687	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2757585792	397	193	204	ProSitePatterns	PS00070	IPR016160	Aldehyde dehydrogenase, conserved site	GO:0008152|GO:0016491|GO:0055114
2757585792	397	1	396	SUPERFAMILY	SSF53720	IPR016161	Aldehyde/histidinol dehydrogenase	GO:0008152|GO:0016491|GO:0055114
2757585793	380	46	57	ProSitePatterns	PS01305	IPR000385	MoaA/nifB/pqqE, iron-sulphur binding, conserved site	GO:0003824|GO:0046872|GO:0051539
2757585793	380	40	254	SMART	SM00729	IPR006638	Elongator protein 3/MiaB/NifB	GO:0003824|GO:0051536
2757585793	380	33	323	SUPERFAMILY	SSF102114			
2757585794	176	9	165	SUPERFAMILY	SSF53448			
2757585795	54	1	51	SUPERFAMILY	SSF50621	IPR009006	Alanine racemase/group IV decarboxylase, C-terminal	GO:0003824
2757585796	306	49	147	SUPERFAMILY	SSF103481			
2757585796	306	219	298	SUPERFAMILY	SSF103481			
2757585798	339	54	68	ProSitePatterns	PS00624	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	GO:0016614|GO:0050660|GO:0055114
2757585798	339	3	83	SUPERFAMILY	SSF51905			
2757585798	339	90	273	SUPERFAMILY	SSF54373			
2757585798	339	269	333	SUPERFAMILY	SSF51905			
2757585799	49	23	49	ProSiteProfiles	PS50991	IPR000891	Pyruvate carboxyltransferase	GO:0003824
2757585800	306	210	226	ProSitePatterns	PS00671	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding	GO:0016616|GO:0048037|GO:0055114
2757585800	306	92	271	SUPERFAMILY	SSF51735			
2757585801	369	300	367	ProSiteProfiles	PS50968	IPR000089	Biotin/lipoyl attachment	
2757585801	369	324	341	ProSitePatterns	PS00188	IPR001882	Biotin-binding site	
2757585801	369	14	125	SMART	SM00878	IPR005482	Biotin carboxylase, C-terminal	GO:0016874
2757585801	369	289	367	SUPERFAMILY	SSF51230	IPR011053	Single hybrid motif	
2757585801	369	9	128	SUPERFAMILY	SSF51246	IPR011054	Rudiment single hybrid motif	
2757585801	369	1	129	ProSiteProfiles	PS50979	IPR011764	Biotin carboxylation domain	GO:0004075|GO:0005524|GO:0016874
2757585803	366	4	235	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
2757585803	366	29	220	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
2757585803	366	237	366	SUPERFAMILY	SSF50331	IPR008995	Molybdate/tungstate binding, C-terminal	
