gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2737841723	622	53.62	3	622	10	627	0.0e+00	753	COG3158	K+ transporter	627
2737841724	280	30.74	10	275	3	237	3.0e-53	202	COG0688	Phosphatidylserine decarboxylase	239
2737841728	407	26.86	25	394	1	364	4.0e-45	176	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component	366
2737841729	290	40	1	289	1	294	5.0e-44	171	COG0559	Branched-chain amino acid ABC-type transport system, permease component	297
2737841730	336	30.89	14	324	7	314	8.0e-35	141	COG4177	ABC-type branched-chain amino acid transport system, permease component	314
2737841731	256	50	4	239	3	250	1.0e-73	269	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	250
2737841732	234	55.56	1	233	3	236	4.0e-86	311	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	237
2737841734	427	27.36	7	414	12	432	3.0e-52	199	COG2270	MFS-type transporter involved in bile tolerance, Atg22 family	438
2737841735	171	26.19	5	160	55	220	4.0e-18	84.3	COG1451	Predicted metal-dependent hydrolase	223
2737841736	302	34.8	18	290	8	261	4.0e-60	225	COG0796	Glutamate racemase	269
2737841737	517	45.98	1	308	1	297	2.0e-98	353	COG1951	Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain	297
2737841738	200	40.86	15	200	6	168	2.0e-36	145	COG2862	Uncharacterized membrane protein YqhA	169
2737841740	332	31.21	8	332	2	330	5.0e-70	258	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	332
2737841741	240	34.02	1	239	1	241	1.0e-38	153	COG2186	DNA-binding transcriptional regulator, FadR family	241
2737841742	372	34.49	5	367	2	372	8.0e-74	271	COG4948	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	372
2737841743	192	33.51	1	181	2	188	3.0e-30	125	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	246
2737841745	318	34.29	1	307	5	315	5.0e-52	198	COG2334	Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist	331
2737841747	158	38.65	1	158	1	161	6.0e-32	130	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase 2	174
2737841748	765	39.76	9	665	1	652	0.0e+00	572	COG0210	Superfamily I DNA or RNA helicase	655
2737841749	325	22.82	125	322	1	167	3.0e-15	76.4	COG0516	IMP dehydrogenase/GMP reductase	170
2737841752	343	27.37	19	289	1	258	4.0e-17	82.7	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	275
2737841754	108	40.22	12	103	1	92	5.0e-26	109	COG0776	Bacterial nucleoid DNA-binding protein	94
2737841757	328	38.99	7	324	1	316	6.0e-67	247	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2737841758	170	38.33	2	167	1	178	3.0e-30	124	COG2032	Cu/Zn superoxide dismutase	179
2737841760	82	43.84	6	78	7	79	7.0e-07	45.6	COG0636	FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	79
2737841761	281	35.59	1	281	1	246	1.0e-41	163	COG0356	FoF1-type ATP synthase, membrane subunit a	246
2737841763	148	21.53	8	145	12	154	8.0e-05	39.9	COG5615	Uncharacterized membrane protein	161
2737841764	99	38.2	11	99	2	90	7.0e-23	98.8	COG2921	Putative lipoic acid-binding regulatory protein	90
