Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757584205	AA3_2(5-532)	AA3+AA8	AA3_2	N	3
2757584239	AA3_2(6-548)	AA3+AA8	AA3	N	3
2757584261	GT4(221-358)	GT4	GT4	N	3
2757584352	CE10(7-146)	N	N	N	1
2757584365	AA4(57-285)	N	N	N	1
2757584468	GH23(487-613)	GH23	GH23	N	3
2757584872	AA4(6-193)	N	N	N	1
2757584876	AA3_2(2-527)	AA3+AA8	AA3_2	N	3
2757584949	GT28(183-338)	GT28	GT28	N	3
2757584991	GH3(58-295)	GH3	GH3	N	3
2757585243	GT51(81-255)	GT51	GT51	N	3
2757585345	GH102(155-265)	GH102	GH102	N	3
2757585374	CE11(4-279)	CE11	CE11	N	3
2757585377	GT51(61-252)	GT51	N	N	2
2757585448	GT104(9-357)	N	GT104	N	2
2757585479	AA7(51-247)	N	N	N	1
2757585567	GH23(114-213)	GH23	N	N	2
2757585599	GH23(84-222)	GH23	CBM50	N	3
2757585708	GT19(1-359)	GT19	GT19	N	3
2757585778	AA3_2(3-536)	AA3+AA8	AA3_2	N	3
2757585150	N	CE4	CE4	N	2
2757585710	N	CE11	N	N	1
2757584738	N	GT0	N	N	1
2757584660	N	CBM50	N	Y(1-37)	1
2757584248	N	N	GT51	N	1
2757584644	N	N	GH19	N	1
2757584705	N	N	GH28	N	1
2757584775	N	N	GT4	N	1
2757584925	N	N	GT13	N	1
2757585179	N	N	GH23	N	1
2757585454	N	N	GH6	N	1
2757585595	N	N	AA1	Y(1-35)	1
