Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757595942	GT104(21-400)	N	N	N	1
2757595958	CE11(4-279)	CE11	CE11	N	3
2757595964	GT28(176-331)	GT28	GT28	N	3
2757596079	GH23(125-231)	GH23	N	N	2
2757596258	GT30(37-213)	GT30	GT30	N	3
2757596259	GT9(77-308)	GT9	GT9	N	3
2757596262	CE10(23-220)	N	N	N	1
2757596371	GH109(2-111)	N	N	N	1
2757596490	CE4(55-205)	N	N	N	1
2757596861	GT83(8-387)	GT83	GT83	N	3
2757596980	GT51(64-238)	GT51	N	N	2
2757597021	GH3(55-293)	GH3	GH3	N	3
2757597107	AA3(2-550)	N	N	N	1
2757597206	GT2_Glycos_transf_2(7-125)	GT2	N	N	2
2757597207	GT2_Glycos_transf_2(15-152)	GT2	GT2	N	3
2757597214	GH23(523-649)	GH23	GH23	Y(1-32)	3
2757597241	AA6(5-174)	N	N	N	1
2757597279	GH102(94-235)	GH102	GH102	N	3
2757597379	GT9(125-394)	GT9	GT9	N	3
2757597380	GT83(152-629)	N	N	N	1
2757597498	AA7(29-236)	N	N	N	1
2757597524	GT51(83-256)	GT51	GT51	N	3
2757597529	GH23(103-205)	GH23	N	Y(1-24)	2
2757597710	GT83(3-332)	N	GT0	N	2
2757597937	GT9(71-352)	GT9	GT9	N	3
2757598113	AA4(55-286)	N	N	N	1
2757598187	CE10(49-284)	N	N	N	1
2757598189	CE4(2-144)	N	N	N	1
2757598546	AA3_2(5-565)	AA3+AA8	AA3	N	3
2757597547	N	CE4	CE4	N	2
2757597977	N	GT0	GT0	N	2
2757596549	N	GT4	N	N	1
2757596051	N	N	GH6	N	1
2757596077	N	N	GH13_11	N	1
2757596135	N	N	GH19	N	1
2757596232	N	N	GT13	N	1
2757596240	N	N	GH101	N	1
2757596254	N	N	GH28	N	1
2757597203	N	N	AA1	N	1
2757597521	N	N	GT51	N	1
2757597823	N	N	CE8	N	1
2757597890	N	N	GH23	N	1
2757597891	N	N	GH23	Y(1-19)	1
2757598057	N	N	GH6	N	1
2757598288	N	N	GH13_30	N	1
2757598493	N	N	GT4	N	1
2757598548	N	N	CBM50	N	1
