gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2757604384	179	43.56	1	162	1	156	5.0e-43	167	COG0242	Peptide deformylase	168
2757604389	408	25.19	27	403	1	381	2.0e-39	156	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2757604390	201	32.84	4	193	2	196	8.0e-30	123	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2757604391	508	48.53	101	508	1	381	0.0e+00	473	COG2721	Altronate dehydratase	381
2757604393	437	22.47	21	310	7	307	6.0e-29	122	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	367
2757604394	503	19.82	10	221	4	202	6.0e-17	82.8	COG1014	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit	203
2757604395	731	35.47	9	706	2	638	0.0e+00	604	COG4231	TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit	640
2757604396	159	25.81	1	148	2	153	1.0e-13	69.6	COG5517	3-phenylpropionate/cinnamic acid dioxygenase, small subunit	164
2757604397	441	22.56	21	405	7	345	8.0e-28	118	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit	367
2757604398	437	30.41	1	436	2	445	5.0e-58	218	COG4664	TRAP-type mannitol/chloroaromatic compound transport system, large permease component	447
2757604399	176	25.15	6	176	6	169	9.0e-11	60.3	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component	177
2757604400	328	27.49	5	326	1	327	8.0e-34	137	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	332
2757604401	602	28.27	22	591	214	761	2.0e-80	293	COG2366	Acyl-homoserine lactone (AHL) acylase PvdQ	768
2757604402	331	38.63	9	329	1	318	3.0e-68	252	COG3181	Tripartite-type tricarboxylate transporter, receptor component TctC	319
2757604403	258	35.29	13	254	4	249	3.0e-36	145	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2757604404	293	32.4	1	286	15	293	4.0e-36	145	COG0559	Branched-chain amino acid ABC-type transport system, permease component	297
2757604405	300	32.98	4	273	27	305	2.0e-28	119	COG4177	ABC-type branched-chain amino acid transport system, permease component	314
2757604406	252	46.8	1	242	1	250	1.0e-75	276	COG0411	ABC-type branched-chain amino acid transport system, ATPase component	250
2757604407	233	48.94	1	232	2	236	6.0e-75	273	COG0410	ABC-type branched-chain amino acid transport system, ATPase component	237
