gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2757601860	342	1	35	ProSiteProfiles	PS51318	IPR006311	Twin-arginine translocation pathway, signal sequence	
2757601861	117	24	116	ProSiteProfiles	PS50059	IPR001179	Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain	GO:0006457
2757601861	117	2	115	SUPERFAMILY	SSF54534			
2757601862	224	178	220	ProSitePatterns	PS01071	IPR000740	GrpE nucleotide exchange factor	GO:0000774|GO:0006457|GO:0042803|GO:0051087
2757601862	224	168	222	SUPERFAMILY	SSF51064	IPR009012	GrpE nucleotide exchange factor, head	GO:0006457
2757601862	224	76	165	SUPERFAMILY	SSF58014			
2757601863	643	7	14	ProSitePatterns	PS00297	IPR018181	Heat shock protein 70, conserved site	
2757601863	643	193	206	ProSitePatterns	PS00329	IPR018181	Heat shock protein 70, conserved site	
2757601863	643	338	352	ProSitePatterns	PS01036	IPR018181	Heat shock protein 70, conserved site	
2757601863	643	4	184	SUPERFAMILY	SSF53067			
2757601863	643	188	383	SUPERFAMILY	SSF53067			
2757601863	643	386	541	SUPERFAMILY	SSF100920			
2757601863	643	508	605	SUPERFAMILY	SSF100934			
2757601864	379	139	215	SUPERFAMILY	SSF57938	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0031072|GO:0051082
2757601864	379	139	217	ProSiteProfiles	PS51188	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0031072|GO:0051082
2757601864	379	2	114	SUPERFAMILY	SSF46565	IPR001623	DnaJ domain	
2757601864	379	5	63	SMART	SM00271	IPR001623	DnaJ domain	
2757601864	379	6	71	ProSiteProfiles	PS50076	IPR001623	DnaJ domain	
2757601864	379	119	143	SUPERFAMILY	SSF49493	IPR008971	HSP40/DnaJ peptide-binding	GO:0006457|GO:0051082
2757601864	379	191	266	SUPERFAMILY	SSF49493	IPR008971	HSP40/DnaJ peptide-binding	GO:0006457|GO:0051082
2757601864	379	263	349	SUPERFAMILY	SSF49493	IPR008971	HSP40/DnaJ peptide-binding	GO:0006457|GO:0051082
2757601864	379	48	67	ProSitePatterns	PS00636	IPR018253	DnaJ domain, conserved site	
2757601867	156	6	123	SUPERFAMILY	SSF88723			
2757601868	102	3	46	SMART	SM00966	IPR007159	AbrB-like domain	
2757601868	102	2	57	SUPERFAMILY	SSF89447			
2757601869	609	218	226	ProSitePatterns	PS00039	IPR000629	RNA helicase, ATP-dependent, DEAD-box, conserved site	GO:0003676|GO:0005524|GO:0008026
2757601869	609	298	448	ProSiteProfiles	PS51194	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2757601869	609	323	404	SMART	SM00490	IPR001650	Helicase, C-terminal	GO:0003676|GO:0004386|GO:0005524
2757601869	609	82	287	SMART	SM00487	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2757601869	609	94	272	ProSiteProfiles	PS51192	IPR014001	Helicase, superfamily 1/2, ATP-binding domain	
2757601869	609	63	91	ProSiteProfiles	PS51195	IPR014014	RNA helicase, DEAD-box type, Q motif	
2757601869	609	139	424	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2757601872	142	14	34	ProSitePatterns	PS00588	IPR019776	Flagellar basal body rod protein, conserved site	GO:0001539|GO:0003774|GO:0005198|GO:0009288
2757601874	1439	9	29	ProSitePatterns	PS00588	IPR019776	Flagellar basal body rod protein, conserved site	GO:0001539|GO:0003774|GO:0005198|GO:0009288
2757601874	1439	80	235	SUPERFAMILY	SSF117143			
2757601874	1439	1250	1397	SUPERFAMILY	SSF117143			
2757601876	152	1	151	SUPERFAMILY	SSF55298	IPR013813	Endoribonuclease L-PSP/chorismate mutase-like	
2757601879	813	567	759	SMART	SM00849	IPR001279	Beta-lactamase-like	GO:0016787
2757601879	813	562	795	SUPERFAMILY	SSF56281			
2757601881	96	8	48	SUPERFAMILY	SSF47598	IPR010985	Ribbon-helix-helix	GO:0006355
2757601883	363	1	26	ProSiteProfiles	PS51318	IPR006311	Twin-arginine translocation pathway, signal sequence	
2757601884	330	31	320	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2757601887	859	712	840	SUPERFAMILY	SSF53244	IPR004101	Mur ligase, C-terminal	GO:0005524|GO:0009058|GO:0016874
2757601887	859	211	464	ProSiteProfiles	PS50975	IPR011761	ATP-grasp fold	GO:0005524|GO:0046872
2757601887	859	435	726	SUPERFAMILY	SSF53623	IPR013221	Mur ligase, central	GO:0005524|GO:0009058
2757601887	859	475	498	ProSitePatterns	PS01011	IPR018109	Folylpolyglutamate synthetase, conserved site	GO:0004326|GO:0005524|GO:0009396
2757601887	859	206	315	SUPERFAMILY	SSF56059			
2757601887	859	377	465	SUPERFAMILY	SSF56059			
2757601888	133	2	117	SUPERFAMILY	SSF53623	IPR013221	Mur ligase, central	GO:0005524|GO:0009058
2757601889	181	21	170	SUPERFAMILY	SSF56801			
2757601890	412	13	206	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2757601891	398	349	368	ProSitePatterns	PS00073	IPR006089	Acyl-CoA dehydrogenase, conserved site	GO:0003995|GO:0055114
2757601891	398	246	393	SUPERFAMILY	SSF47203	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal	GO:0016627|GO:0055114
2757601891	398	6	242	SUPERFAMILY	SSF56645	IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain	GO:0008152|GO:0016627|GO:0055114
2757601892	367	2	244	SUPERFAMILY	SSF52402			
2757601893	864	764	863	SMART	SM00448	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
2757601893	864	765	864	ProSiteProfiles	PS50110	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
