gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2757581544	289	60.29	7	282	5	281	2.3e-119	391	KO:K01432	arylformamidase [EC:3.5.1.9]	EC:3.5.1.9	Yes
2757581545	325	85.23	1	325	1	325	0.0e+00	662	KO:K00364	GMP reductase [EC:1.7.1.7]	EC:1.7.1.7	Yes
2757581546	776	73.97	14	776	14	808	0.0e+00	1300	KO:K03657	DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	EC:3.6.4.12	Yes
2757581548	346	69.11	29	342	1	314	0.0e+00	511	KO:K02204	homoserine kinase type II [EC:2.7.1.39]	EC:2.7.1.39	Yes
2757581549	930	75.13	1	930	1	937	0.0e+00	1620	KO:K02335	DNA polymerase I [EC:2.7.7.7]	EC:2.7.7.7	Yes
2757581550	734	48.28	9	729	8	730	0.0e+00	756	KO:K03321	sulfate permease, SulP family		Yes
2757581552	333	76.51	1	332	1	324	0.0e+00	574	KO:K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	EC:2.3.1.180	Yes
2757581553	299	73.91	1	299	24	322	0.0e+00	499	KO:K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	EC:2.3.1.39	Yes
2757581555	558	78.18	1	550	17	556	0.0e+00	1000	KO:K00108	choline dehydrogenase [EC:1.1.99.1]	EC:1.1.99.1	Yes
2757581556	252	69.84	1	252	1	252	8.3e-129	415	KO:K07090	uncharacterized protein		Yes
2757581557	699	70.7	1	665	1	668	0.0e+00	1100	KO:K05515	penicillin-binding protein 2		Yes
2757581558	176	68.18	1	176	1	176	1.8e-85	284	KO:K03571	rod shape-determining protein MreD		Yes
2757581559	305	61.31	1	302	1	305	4.6e-126	412	KO:K03570	rod shape-determining protein MreC		Yes
2757581560	281	96.8	1	281	67	347	0.0e+00	610	KO:K03569	rod shape-determining protein MreB and related proteins		Yes
2757581562	282	80.78	2	282	5	285	0.0e+00	525	KO:K01433	formyltetrahydrofolate deformylase [EC:3.5.1.10]	EC:3.5.1.10	Yes
2757581564	454	72.18	15	449	7	440	0.0e+00	752	KO:K00822	beta-alanine--pyruvate transaminase [EC:2.6.1.18]	EC:2.6.1.18	Yes
