gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2757581542	311	167	306	SUPERFAMILY	SSF51261	IPR011055	Duplicated hybrid motif	
2757581544	289	10	269	SUPERFAMILY	SSF53474			
2757581545	325	163	175	ProSitePatterns	PS00487	IPR015875	IMP dehydrogenase / GMP reductase, conserved site	GO:0016491|GO:0055114
2757581545	325	3	311	SUPERFAMILY	SSF51412			
2757581546	776	23	300	ProSiteProfiles	PS51198	IPR014016	UvrD-like Helicase, ATP-binding domain	GO:0005524
2757581546	776	301	599	ProSiteProfiles	PS51217	IPR014017	DNA helicase, UvrD-like, C-terminal	GO:0005524|GO:0016787
2757581546	776	20	676	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
2757581548	346	33	338	SUPERFAMILY	SSF56112	IPR011009	Protein kinase-like domain	GO:0016772
2757581549	930	688	894	SMART	SM00482	IPR001098	DNA-directed DNA polymerase, family A, palm domain	GO:0003677|GO:0003887|GO:0006260
2757581549	930	4	261	SMART	SM00475	IPR002421	5'-3' exonuclease, N-terminal	GO:0003677
2757581549	930	334	520	SMART	SM00474	IPR002562	3'-5' exonuclease domain	GO:0003676|GO:0006139|GO:0008408
2757581549	930	175	210	SMART	SM00279	IPR008918	Helix-hairpin-helix motif, class 2	GO:0003677|GO:0003824
2757581549	930	333	520	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
2757581549	930	756	775	ProSitePatterns	PS00447	IPR019760	DNA-directed DNA polymerase, family A, conserved site	GO:0003887|GO:0006260
2757581549	930	173	292	SUPERFAMILY	SSF47807	IPR020045	5'-3' exonuclease, C-terminal domain	GO:0003677|GO:0003824
2757581549	930	4	172	SUPERFAMILY	SSF88723			
2757581549	930	525	930	SUPERFAMILY	SSF56672			
2757581550	734	596	698	ProSiteProfiles	PS50042	IPR000595	Cyclic nucleotide-binding domain	
2757581550	734	596	714	SMART	SM00100	IPR000595	Cyclic nucleotide-binding domain	
2757581550	734	455	571	ProSiteProfiles	PS50801	IPR002645	STAS domain	
2757581550	734	459	572	SUPERFAMILY	SSF52091	IPR002645	STAS domain	
2757581550	734	592	722	SUPERFAMILY	SSF51206	IPR018490	Cyclic nucleotide-binding-like	
2757581551	70	1	55	SUPERFAMILY	SSF53659			
2757581552	333	5	333	SUPERFAMILY	SSF53901	IPR016039	Thiolase-like	GO:0003824|GO:0008152
2757581553	299	1	104	SUPERFAMILY	SSF52151	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	GO:0008152
2757581553	299	178	297	SUPERFAMILY	SSF52151	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	GO:0008152
2757581553	299	110	185	SUPERFAMILY	SSF55048	IPR016036	Malonyl-CoA ACP transacylase, ACP-binding	GO:0003824|GO:0008152
2757581553	299	7	297	SMART	SM00827	IPR020801	Polyketide synthase, acyl transferase domain	
2757581554	146	4	146	SUPERFAMILY	SSF51735			
2757581555	558	270	284	ProSitePatterns	PS00624	IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	GO:0016614|GO:0050660|GO:0055114
2757581555	558	1	128	SUPERFAMILY	SSF51905			
2757581555	558	160	299	SUPERFAMILY	SSF51905			
2757581555	558	306	489	SUPERFAMILY	SSF54373			
2757581555	558	485	551	SUPERFAMILY	SSF51905			
2757581557	699	54	250	SUPERFAMILY	SSF56519	IPR005311	Penicillin-binding protein, dimerisation domain	GO:0008658
2757581557	699	252	615	SUPERFAMILY	SSF56601	IPR012338	Beta-lactamase/transpeptidase-like	
2757581560	281	2	87	SUPERFAMILY	SSF53067			
2757581560	281	89	271	SUPERFAMILY	SSF53067			
2757581561	591	364	541	SUPERFAMILY	SSF55874	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2757581561	591	422	539	SMART	SM00387	IPR003594	Histidine kinase-like ATPase, ATP-binding domain	GO:0005524
2757581561	591	310	375	SMART	SM00388	IPR003661	Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain	GO:0000155|GO:0007165|GO:0016020
2757581561	591	317	539	ProSiteProfiles	PS50109	IPR005467	Signal transduction histidine kinase, core	
2757581561	591	297	376	SUPERFAMILY	SSF47384	IPR009082	Signal transduction histidine kinase, homodimeric domain	GO:0004871|GO:0007165
