gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2757589896	238	38.03	7	237	15	246	6.0e-42	164	COG1191	DNA-directed RNA polymerase specialized sigma subunit	247
2757589897	274	30.97	7	270	2	261	2.0e-39	155	COG0455	MinD-like ATPase involved in chromosome partitioning or flagellar assembly	262
2757589898	505	19.45	1	394	1	377	6.0e-22	99.3	COG1419	Flagellar biosynthesis GTPase FlhF	407
2757589899	681	53.87	1	668	25	693	0.0e+00	793	COG1298	Flagellar biosynthesis pathway, component FlhA	696
2757589901	338	63.1	1	336	3	338	0.0e+00	527	COG0059	Ketol-acid reductoisomerase	338
2757589902	163	54.04	1	161	3	163	6.0e-48	183	COG0440	Acetolactate synthase, small subunit	163
2757589903	590	52.67	23	583	4	549	0.0e+00	661	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	550
2757589904	188	27.37	8	185	18	179	6.0e-19	87.4	COG1595	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	182
2757589907	175	28.92	12	172	5	170	4.0e-04	38.2	COG1714	Uncharacterized membrane protein YckC, RDD family	172
2757589908	203	36.56	9	190	10	194	6.0e-38	150	COG1611	Predicted Rossmann fold nucleotide-binding protein	205
2757589909	112	73.21	1	112	1	112	3.0e-39	153	COG0347	Nitrogen regulatory protein PII	112
2757589911	177	37.74	1	154	1	151	3.0e-22	98	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase 2	174
2757589912	151	52.94	16	151	16	148	2.0e-46	178	COG0756	dUTPase	148
2757589913	407	47.38	4	402	2	391	4.0e-103	368	COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase	392
2757589914	575	60.47	29	575	1	533	0.0e+00	844	COG0504	CTP synthase (UTP-ammonia lyase)	533
2757589915	284	58.57	1	280	5	278	1.0e-114	406	COG2877	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	279
2757589916	95	43.16	1	95	2	96	2.0e-22	97.3	COG5470	Uncharacterized conserved protein, DUF1330 family	96
2757589919	207	35.52	1	180	1	181	4.0e-44	171	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component	182
2757589920	351	38.14	3	333	29	357	3.0e-97	348	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component	363
2757589921	208	26	19	207	9	199	2.0e-23	102	COG3381	Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation	204
2757589926	607	38.45	1	603	346	939	0.0e+00	558	COG3383	Predicted molibdopterin-dependent oxidoreductase YjgC	978
2757589927	270	51.44	1	264	66	338	2.0e-94	338	COG3839	ABC-type sugar transport system, ATPase component	338
2757589928	247	34.54	9	247	5	253	8.0e-42	163	COG0584	Glycerophosphoryl diester phosphodiesterase	257
2757589930	429	43.54	7	424	1	409	4.0e-114	405	COG0373	Glutamyl-tRNA reductase	414
2757589933	109	40.74	1	108	1	106	2.0e-23	100	COG1965	Iron-binding protein CyaY, frataxin homolog	106
2757589934	425	45.43	12	401	3	394	1.0e-119	423	COG0019	Diaminopimelate decarboxylase	394
2757589935	199	42.08	12	194	13	192	1.0e-28	119	COG2717	Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit	209
2757589936	331	40.69	24	303	1	271	6.0e-59	221	COG2041	Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit	271
2757589938	436	29.67	140	435	33	281	3.0e-24	106	COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component	281
2757589941	163	35.53	10	160	2	153	2.0e-29	121	COG2606	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC	155
2757589942	209	41.38	3	205	2	200	2.0e-42	165	COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	200
2757589943	118	31.15	2	117	7	128	2.0e-21	94.2	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	130
2757589944	394	41.69	2	393	1	391	3.0e-85	309	COG0183	Acetyl-CoA acetyltransferase	392
2757589945	285	26.4	34	277	2	237	2.0e-24	106	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2757589949	458	53.75	2	455	1	462	0.0e+00	627	COG0215	Cysteinyl-tRNA synthetase	464
2757589951	234	42.78	41	234	2	158	1.0e-43	170	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	158
2757589952	168	44.44	6	165	2	154	1.0e-44	172	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	158
2757589953	267	38.07	27	234	3	215	1.0e-35	143	COG2908	UDP-2,3-diacylglucosamine pyrophosphatase LpxH	237
2757589958	525	44.87	1	519	1	517	0.0e+00	470	COG0661	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	517
2757589959	491	25.62	1	471	4	480	3.0e-46	179	COG0591	Na+/proline symporter	493
2757589960	111	48.39	1	62	8	68	5.0e-19	86.2	COG2331	Predicted nucleic acid-binding protein, contains Zn-ribbon domain	82
2757589961	221	46.3	5	219	5	213	4.0e-57	214	COG2928	Uncharacterized membrane protein	222
2757589962	473	59.28	3	472	1	459	0.0e+00	690	COG0173	Aspartyl-tRNA synthetase	585
2757589965	238	20.77	61	238	65	243	3.0e-12	66	COG1651	Protein-disulfide isomerase	244
2757589966	396	31.76	9	384	4	384	1.0e-50	193	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	387
2757589969	102	41	1	98	1	100	2.0e-21	93.5	COG3093	Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	104
2757589970	92	42.55	1	92	1	94	3.0e-19	86.9	COG3549	Plasmid maintenance system killer protein	94
2757589971	108	30	8	93	17	106	1.0e-06	44.9	COG0526	Thiol-disulfide isomerase or thioredoxin	127
2757589972	312	26.3	6	311	1	297	3.0e-27	116	COG0583	DNA-binding transcriptional regulator, LysR family	297
2757589973	265	38.1	12	262	10	257	5.0e-46	177	COG1024	Enoyl-CoA hydratase/carnithine racemase	257
