Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
2757590104	GH23(107-235)	GH23	N	N	2
2757590307	CE4(47-153)	N	N	N	1
2757590308	CE4(53-153)	N	N	N	1
2757590362	GT104(26-371)	N	GT104	N	2
2757590368	GT4(209-370)	GT4	GT4	N	3
2757590369	GT4(223-367)	N	N	N	1
2757590437	CE10(31-315)	N	N	N	1
2757590492	GH23(96-199)	GH23	GH23	Y(1-29)	3
2757590667	GH103(33-324)	GH103	GH103	Y(1-27)	3
2757590710	GT102(86-337)	N	GT102	N	2
2757590774	GH23(392-520)	GH23	GH23	N	3
2757590786	GT28(185-342)	GT28	GT28	N	3
2757590809	GT2_Glycos_transf_2(11-176)	GT2	GT2	N	3
2757590810	GT83(16-477)	GT83	N	N	2
2757590811	GT83(21-414)	N	N	N	1
2757590816	GT4(219-359)	GT4	GT4	N	3
2757590873	AA3_2(5-566)	AA3+AA8	AA3	N	3
2757590883	GT4(182-319)	N	GT2	N	2
2757590884	GT2_Glycos_transf_2(550-675)	GT2+GT4	GT2	N	3
2757591023	AA3_2(4-533)	AA3+AA8	AA3	N	3
2757591213	CE4(43-193)	N	N	Y(1-33)	1
2757591321	GH3(52-293)	GH3	GH3	N	3
2757591374	GH102(178-315)	GH102	GH102	N	3
2757591698	GT4(196-341)	N	GT4	N	2
2757591730	AA3_2(2-410)	AA3+AA8	N	N	2
2757591760	GH23(132-234)	GH23	GH23	N	3
2757591776	GH23(149-291)	GH23	CBM50	N	3
2757592121	AA7(56-256)	N	N	N	1
2757592462	GT51(57-238)	GT51	GT51	N	3
2757592464	GH23(130-233)	GH23	N	N	2
2757592471	GT25(2-161)	N	N	N	1
2757592472	GT4(168-319)	N	GT4	N	2
2757592473	GT30(44-212)	GT30	N	N	2
2757592544	AA6(4-174)	N	N	N	1
2757592720	GT4(100-188)	GT4	N	N	2
2757591829	N	CE4	CE4	N	2
2757590024	N	AA3+AA8	N	N	1
2757591664	N	GT0	GT0	N	2
2757590640	N	GT30	N	N	1
2757591431	N	CBM50	CBM50	Y(1-21)	2
2757589934	N	N	GT51	N	1
2757589989	N	N	GH6	N	1
2757590384	N	N	GT2	N	1
2757590935	N	N	GH13_30	N	1
2757591219	N	N	GT4	N	1
2757591699	N	N	GT4	N	1
2757592162	N	N	GT2	N	1
2757592164	N	N	GT4	N	1
2757592456	N	N	GH19	N	1
2757592573	N	N	CE8	N	1
2757592678	N	N	GH101	N	1
